frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,300,0.03,u003,25000.0,-32762.75181015171,-11291.300363320097,-21471.451446831612,-71471.4514468316,-32762.75740679149,0.9999999216940639,7.830593606872327e-08,-0.1361759590525535,0,-0.1361759590525535,0.1507957757839171,0.11062075927073434,0.24679671832328784
1,400,0.04,u003,25000.0,-32790.29544292482,-7884.9414919462715,-24905.353950978548,-74905.35395097855,-32790.30078299667,0.9999999287090868,7.129091317281677e-08,-0.14381955607307734,0,-0.14381955607307734,0.1485434179232463,0.11058785231542924,0.25440740838850656
2,500,0.05,u003,25000.0,-32438.385254795114,374.37303656627955,-32812.758291361395,-82812.75829136139,-32438.390084968443,0.9999999416735673,5.832643268366411e-08,-0.17338446420297324,0,-0.17338446420297324,0.14528742536285028,0.1090293785250788,0.28241384272805203
3,600,0.06,u003,25000.0,-31662.19596588488,4490.04253708582,-36152.2385029707,-86152.2385029707,-31662.200608828407,0.9999999461076914,5.389230867125505e-08,-0.1806061879422108,0,-0.1806061879422108,0.14396847451949174,0.11109688882200494,0.29170307676421575
4,700,0.07,u003,25000.0,-32195.491398248516,-11025.404351216377,-21170.08704703214,-71170.08704703214,-32195.49701858685,0.9999999210294988,7.897050124938687e-08,-0.16616136138862764,0,-0.16616136138862764,0.15308758630865754,0.11261509724841025,0.27877645863703787
5,800,0.08,u003,25000.0,-32499.759402191976,-8163.308095039808,-24336.45130715217,-74336.45130715217,-32499.764783131795,0.9999999276137218,7.238627819372567e-08,-0.1452191100788186,0,-0.1452191100788186,0.14905497737644446,0.11330173339351345,0.25852084347233206
6,900,0.09,u003,25000.0,-32639.18662578638,-2160.043979996216,-30479.142645790165,-80479.14264579015,-32639.191596017943,0.9999999382419993,6.17580007689078e-08,-0.1442608639245268,0,-0.1442608639245268,0.1453925607361644,0.11341712811420747,0.25767799203873426
7,1000,0.1,u003,25000.0,-32731.46980211462,-11455.707890020978,-21275.761912093643,-71275.76191209364,-32731.475414120127,0.9999999212634916,7.873650836875967e-08,-0.14884829418698883,0,-0.14884829418698883,0.15162418980440032,0.11211108652914095,0.2609593807161298
8,1100,0.11,u003,25000.0,-32899.927315946,-3529.1646429469656,-29370.762672999033,-79370.76267299903,-32899.932355584795,0.9999999365051061,6.349489389823049e-08,-0.14326818502025074,0,-0.14326818502025074,0.1459356846513223,0.11120069082945379,0.2544688758497045
9,1200,0.12,u003,25000.0,-32807.944553540736,6372.8835450826355,-39180.82809862337,-89180.82809862337,-32807.94903880947,0.9999999497059135,5.0294086506585955e-08,-0.12760789798954913,0,-0.12760789798954913,0.14120704400447195,0.10975418094388047,0.2373620789334296
