frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,220,0.011,u001,-30000.0,-36427.26382663165,-6511.436271266895,-29915.827555364755,-29915.827555364755,-36427.27719747424,0.9999995530516208,4.4694837919578845e-07,-0.23851649778499548,0,0.12752557412115242,0.3660420719061479
1,240,0.012,u001,-30000.0,-36317.930580343615,-6254.378555093572,-30063.552025250043,-30063.552025250043,-36317.94388548542,0.9999995574331995,4.425668005403338e-07,-0.24838168486688372,0,0.1165815917919903,0.364963276658874
2,260,0.013000000000000001,u001,-30000.0,-36210.764889594546,-6181.533660506335,-30029.23122908821,-30029.23122908821,-36210.77820994296,0.9999995564209921,4.4357900785829685e-07,-0.258309423486759,0,0.10312323798186034,0.36143266146861935
3,280,0.014,u001,-30000.0,-36112.683836347715,-5991.061943747423,-30121.62189260029,-30121.62189260029,-36112.69711583927,0.9999995591379542,4.408620458140611e-07,-0.262395893084022,0,0.09381178486573033,0.35620767794975233
4,300,0.015,u001,-30000.0,-36067.49118464836,-5991.936602291855,-30075.554582356504,-30075.554582356504,-36067.504484480356,0.9999995577863678,4.4221363221241816e-07,-0.2603192577923513,0,0.09034547646927721,0.35066473426162853
5,320,0.016,u001,-30000.0,-36063.57771765924,-5983.607238924276,-30079.970478734962,-30079.970478734962,-36063.591015538754,0.9999995579161967,4.4208380334254116e-07,-0.25619865009177833,0,0.08868726075585678,0.34488591084763515
6,340,0.017,u001,-30000.0,-36086.592552671354,-6081.394707056839,-30005.197845614515,-30005.197845614515,-36086.605883689015,0.999999555710118,4.4428988205114095e-07,-0.2510161819479183,0,0.08783359410793133,0.33884977605584965
7,360,0.018000000000000002,u001,-30000.0,-36132.25447503492,-6357.177441850479,-29775.07703318444,-29775.07703318444,-36132.2679090831,0.9999995488160771,4.511839229448533e-07,-0.24520225631046613,0,0.08752412493612774,0.33272638124659387
8,380,0.019,u001,-30000.0,-36195.56843271677,-6447.9366166398395,-29747.63181607693,-29747.63181607693,-36195.58187915922,0.999999547983168,4.520168319643858e-07,-0.23917667353463318,0,0.0874188430727378,0.32659551660737096
9,400,0.02,u001,-30000.0,-36271.959881567425,-6512.450228000293,-29759.509653567133,-29759.509653567133,-36271.97332264303,0.9999995483439201,4.5165607981401124e-07,-0.23282373317922492,0,0.08768455943506756,0.3205082926142925
