frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p002,-0.176,-37992.26874518627,-1559.5246047909895,-36432.74414039528,-36432.74414039528,-37992.279724317516,0.9999996986467836,3.0135321632540624e-07,-0.16602226742693893,0,0.10736280120659675,0.2733850686335357
1,1200,0.12,p002,-0.176,-37847.1235582637,4812.385321869515,-42659.50888013322,-42659.50888013322,-37847.13293483466,0.999999780199841,2.1980015901812422e-07,-0.17136893029156897,0,0.10882532281906622,0.28019425311063517
2,1300,0.13,p002,-0.176,-37728.96436964278,-14293.094047584018,-23435.870322058763,-23435.870322058763,-37728.981437483795,0.9999992717225381,7.282774618366794e-07,-0.17568277622948586,0,0.1090114483599472,0.28469422458943305
3,1400,0.14,p002,-0.176,-37729.24157360106,-14654.163699579804,-23075.077874021255,-23075.077874021255,-37729.258908307434,0.9999992487704517,7.512295483458331e-07,-0.1706522555322284,0,0.1084367085619317,0.2790889640941601
4,1500,0.15,p002,-0.176,-37687.1009764825,223.53975047945278,-37910.64072696195,-37910.64072696195,-37687.11152760696,0.9999997216845091,2.783154909313801e-07,-0.1741852010761591,0,0.10963159023089235,0.28381679130705145
5,1600,0.16,p002,-0.176,-37713.380345055484,-442.91496165588615,-37270.4653833996,-37270.4653833996,-37713.391077411005,0.9999997120414454,2.8795855455676644e-07,-0.18311498972438986,0,0.11059704601956002,0.2937120357439499
6,1700,0.17,p002,-0.176,-37825.58941466658,-14550.900997667486,-23274.688416999095,-23274.688416999095,-37825.60660070566,0.9999992616006974,7.383993026466307e-07,-0.174014068360304,0,0.10926500747407633,0.28327907583438033
7,1800,0.18,p002,-0.176,-37774.16769520976,-10541.142864432302,-27233.02483077746,-27233.02483077746,-37774.18238325072,0.9999994606539226,5.393460774105741e-07,-0.16912142426947513,0,0.108734772116467,0.2778561963859421
8,1900,0.19,p002,-0.176,-37740.2894254532,9558.72278340286,-47299.01220885606,-47299.01220885606,-37740.297882287916,0.9999998212048984,1.78795101557494e-07,-0.1767065983325003,0,0.10978208510813074,0.28648868344063105
9,2000,0.2,p002,-0.176,-37752.46556255082,-6747.160258271324,-31005.305304279493,-31005.305304279493,-37752.47846356339,0.9999995839098597,4.1609014039822867e-07,-0.18594784221965593,0,0.11020467432828772,0.29615251654794367
10,2100,0.21,p002,-0.176,-37797.12632995134,-17914.77331595443,-19882.353013996908,-19882.353013996908,-37797.1464482741,0.9999989881337467,1.011866253342042e-06,-0.17688945434618292,0,0.1095854909851119,0.2864749453312948
11,2200,0.22,p002,-0.176,-37788.02925552774,-9348.37800492943,-28439.651250598312,-28439.651250598312,-37788.04332039087,0.9999995054493077,4.94550692287099e-07,-0.1728370688271166,0,0.10934660671586668,0.2821836755429833
12,2300,0.23,p002,-0.176,-37724.06323689854,8130.098922357109,-45854.16215925565,-45854.16215925565,-37724.07196020533,0.999999809759833,1.9024016700841528e-07,-0.18168228482866577,0,0.1108824434910937,0.2925647283197595
13,2400,0.24,p002,-0.176,-37752.02810058024,-6368.790223599266,-31383.237876980973,-31383.237876980973,-37752.04084623252,0.9999995938710345,4.061289654577749e-07,-0.18235128984574356,0,0.11071268403092137,0.29306397387666494
14,2500,0.25,p002,-0.176,-37761.52599298235,-11997.068116778362,-25764.45787620399,-25764.45787620399,-37761.5415182366,0.9999993974165649,6.025834351497394e-07,-0.17153299743157568,0,0.1091854659828182,0.2807184634143939
15,2600,0.26,p002,-0.176,-37701.12930281347,-4871.174669766187,-32829.95463304728,-32829.95463304728,-37701.141486803856,0.9999996288760835,3.711239164316815e-07,-0.17177901925509365,0,0.10898407383740759,0.28076309309250125
16,2700,0.27,p002,-0.176,-37643.25365435498,-10086.71899241567,-27556.53466193931,-27556.53466193931,-37643.2681699606,0.9999994732432615,5.267567385058847e-07,-0.17536602911899646,0,0.10953585262583965,0.2849018817448361
17,2800,0.28,p002,-0.176,-37609.97019061612,-14742.967442850437,-22867.002747765684,-22867.002747765684,-37609.987683057014,0.999999235036864,7.649631360018283e-07,-0.16840858981483448,0,0.10820346466422022,0.2766120544790547
18,2900,0.29,p002,-0.176,-37639.390847385745,-8941.634230316675,-28697.75661706907,-28697.75661706907,-37639.404785750725,0.9999995143051903,4.856948096487734e-07,-0.16548771667559464,0,0.1077084039629148,0.27319612063850945
19,3000,0.3,p002,-0.176,-37524.48370752306,3587.4899789874326,-41111.97368651049,-41111.97368651049,-37524.493437046345,0.9999997633409975,2.3665900250602334e-07,-0.17205148352540617,0,0.10853354154254509,0.28058502506795124
