frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,120,0.012,u000,-50000.0,-31573.44447384984,-7129.9307648803915,-24443.513708969447,-24443.513708969447,-31573.460838098326,0.9999993305288769,6.69471123093679e-07,-0.10646811517331352,0,-0.10646811517331352,0.14740676813189535,0.10919170882072761,0.21565982399404113
1,140,0.014,u000,-50000.0,-31611.70448040998,-6310.144641739425,-25301.559838670553,-25301.559838670553,-31611.720289702076,0.9999993751660987,6.248339012859816e-07,-0.10935322521264698,0,-0.10935322521264698,0.147001776232019,0.10855253190639766,0.21790575711904464
2,160,0.016,u000,-50000.0,-31684.517653366907,-4815.787303462168,-26868.73034990474,-26868.73034990474,-31684.532540552613,0.9999994459295615,5.540704385298412e-07,-0.11778240780876967,0,-0.11778240780876967,0.14645177904479142,0.10540272706926951,0.22318513487803918
3,180,0.018000000000000002,u000,-50000.0,-31742.166223679502,-3463.4757469799806,-28278.69047669952,-28278.69047669952,-31742.180368598987,0.9999994998033821,5.001966179030148e-07,-0.12325625648551018,0,-0.12325625648551018,0.1458947715674056,0.10425691640858999,0.22751317289410017
4,200,0.02,u000,-50000.0,-31802.259506463004,-2686.014904288062,-29116.244602174942,-29116.244602174942,-31802.273244491953,0.9999995281666241,4.718333759812232e-07,-0.1223784448544418,0,-0.1223784448544418,0.1453472378511935,0.1068052655412049,0.2291837103956467
5,220,0.022,u000,-50000.0,-31848.30938896942,-1895.2441715400655,-29953.065217429357,-29953.065217429357,-31848.32274318939,0.9999995541622213,4.458377786953349e-07,-0.12008591321762724,0,-0.12008591321762724,0.1448153201148336,0.11026387623926767,0.2303497894568949
6,240,0.024,u000,-50000.0,-31857.48902684709,-938.139795258644,-30919.349231588447,-30919.349231588447,-31857.501963724564,0.9999995815931779,4.184068220225434e-07,-0.12306352002796433,0,-0.12306352002796433,0.1444304992879383,0.1105817749578972,0.23364529498586153
7,260,0.026000000000000002,u000,-50000.0,-31872.238806602138,60.55486691589431,-31932.793673518034,-31932.793673518034,-31872.251332904947,0.9999996077294987,3.9227050130374863e-07,-0.13127021761006963,0,-0.13127021761006963,0.14420947081560143,0.10751614591997359,0.23878636353004323
8,280,0.028,u000,-50000.0,-31875.004566153737,578.5829183084143,-32453.58748446215,-32453.58748446215,-31875.016891442836,0.9999996202182657,3.7978173428321327e-07,-0.13800570991707012,0,-0.13800570991707012,0.14421940161630578,0.10473687110856415,0.24274258102563426
9,300,0.03,u000,-50000.0,-31867.970085067107,228.71257638245788,-32096.682661449566,-32096.682661449566,-31867.982547409367,0.9999996117252143,3.882747856565061e-07,-0.13773355649560515,0,-0.13773355649560515,0.14435197755016213,0.10558502704253347,0.24331858353813862
