frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,150,0.0075,w003,0.3,-28672.299591781753,-30103.446677979053,1431.1470861972994,54784.98674253107,-112746.87905587198,0.2583672791575933,0.7416327208424067,-0.020079760742673897,0,-0.020079760742673897,0.2811059158524706,0.1433545216553605,0.1634342823980344
1,200,0.01,w003,0.3,-28846.068232008663,-28694.861443112626,-151.20678889603732,53202.63286743773,-111751.38298508673,0.263770627062444,0.736229372937556,-0.07778825212673081,0,-0.07778825212673081,0.29977580293059514,0.11502721687085789,0.1928154689975887
2,250,0.0125,w003,0.3,-28374.21240955347,-29927.47645353592,1553.26404398245,54907.10370031622,-112539.38299810488,0.2579547854488212,0.7420452145511788,-0.02543534452982743,0,-0.02543534452982743,0.2992733590347224,0.1399393902950273,0.16537473482485474
3,300,0.015,w003,0.3,-29156.312017475313,-28587.731690895995,-568.5803265793184,52785.25932975445,-111754.6450528017,0.2652139544369311,0.7347860455630689,-0.06854716765847667,0,-0.06854716765847667,0.2805252438713912,0.11946357392830716,0.18801074158678382
4,350,0.0175,w003,0.3,-29169.931139901782,-28601.39544028772,-568.5356996140617,52785.30395671972,-111768.29696650294,0.2652137997070765,0.7347862002929235,-0.04116904807062241,0,-0.04116904807062241,0.24736773991704109,0.13224744290431056,0.17341649097493297
5,400,0.02,w003,0.3,-29204.92704142372,-27236.874816473493,-1968.0522249502283,51385.78743138355,-110778.36279301022,0.2701087643424431,0.7298912356575569,-0.05095549630870222,0,-0.05095549630870222,0.205908038981261,0.12710353229141327,0.1780590286001155
6,450,0.0225,w003,0.3,-28864.021420315265,-23228.61905520583,-5635.402365109436,47718.437291224334,-107784.7738723761,0.28334041029912393,0.7166595897008761,-0.057772183327449864,0,-0.057772183327449864,0.17065642468564693,0.1240206714307588,0.18179285475820867
7,500,0.025,w003,0.3,-28204.117414217355,-25758.924939784403,-2445.1924744329517,50908.64718190083,-109429.69507222615,0.27179710213845487,0.7282028978615451,-0.033223694760996014,0,-0.033223694760996014,0.18514791194362312,0.13733427328793268,0.1705579680489287
8,550,0.0275,w003,0.3,-27865.74407258143,-26038.69846140162,-1827.045611179812,51526.794045153954,-109542.13436937411,0.2696117171171215,0.7303882828828785,-0.07313028368463159,0,-0.07313028368463159,0.22536740058063207,0.11925156910917714,0.19238185279380873
9,600,0.03,w003,0.3,-26632.519761943688,-27607.90145260169,975.3816906580032,54329.221346991784,-110369.44048003799,0.25991248499415304,0.740087515005847,-0.01893039755542722,0,-0.01893039755542722,0.26007630717218844,0.1466306386181806,0.16556103617360782
10,650,0.0325,w003,0.3,-27012.13331319174,-26671.196433230674,-340.93687996106746,53012.9027763727,-109777.82532844173,0.26442579838666225,0.7355742016133378,-0.07814511102700973,0,-0.07814511102700973,0.28137188192046203,0.11783239806153233,0.19597750908854206
11,700,0.035,w003,0.3,-27085.61865185907,-28594.383058740263,1508.7644068811933,54862.60406321497,-111217.77184011883,0.2581050242453972,0.7418949757546027,-0.023764773422038504,0,-0.023764773422038504,0.285731474628021,0.1439423402945041,0.1677071137165426
12,750,0.0375,w003,0.3,-28625.936271104547,-28151.08782169015,-474.8484494143959,52878.991206919374,-111293.15740659094,0.2648891596335331,0.7351108403664669,-0.06912697619307304,0,-0.06912697619307304,0.2726224575165093,0.11988601273435232,0.18901298892742535
13,800,0.04,w003,0.3,-29406.30305434562,-28967.347313643353,-438.95574070226576,52914.883915631515,-112099.9115395017,0.2647648871571558,0.7352351128428443,-0.038258311686907465,0,-0.038258311686907465,0.24520746407940275,0.13666341208718047,0.17492172377408793
14,850,0.0425,w003,0.3,-30044.5942087923,-28330.809193449426,-1713.7850153428735,51640.0546409909,-111803.73129670086,0.26921310128234555,0.7307868987176545,-0.04017489497551552,0,-0.04017489497551552,0.20875005193932739,0.13899734238683542,0.17917223736235094
15,900,0.045,w003,0.3,-30368.756282107675,-25235.405878368696,-5133.350403738979,48220.489252594794,-109649.77294106258,0.28149440602330433,0.7185055939766957,-0.06938076837167662,0,-0.06938076837167662,0.17547644730257228,0.11991199827984314,0.18929276665151976
16,950,0.0475,w003,0.3,-29927.64973058128,-27236.523244574026,-2691.126486007255,50662.71317032652,-110974.24495998133,0.2726712008996882,0.7273287991003118,-0.031030402759021275,0,-0.031030402759021275,0.1809629074828209,0.13116157501037087,0.16219197776939215
17,1000,0.05,w003,0.3,-30123.80281943705,-27958.92238976718,-2164.880429669869,51188.9592266639,-111553.64378573981,0.27080402998081293,0.729195970019187,-0.07038288640953366,0,-0.07038288640953366,0.21591545639961376,0.11823569812979351,0.18861858453932717
18,1050,0.0525,w003,0.3,-28830.396367936537,-29185.071788238973,354.67542030243567,53708.515076636206,-112108.59686200594,0.26203136353500045,0.7379686364649996,-0.017585535282902715,0,-0.017585535282902715,0.24825015379886003,0.15148589416475944,0.16907142944766215
19,1100,0.055,w003,0.3,-28509.392938646884,-28220.093496555408,-289.2994420914765,53064.5402142423,-111313.07272934355,0.2642473304266147,0.7357526695733854,-0.061543049230227354,0,-0.061543049230227354,0.26846836417555964,0.1295644120646588,0.19110746129488615
