frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,150,0.0075,w005,0.5,1104.3159867705835,-26274.448772738164,27378.764759508747,80732.60441584252,-103230.32639565255,0.18448218214038103,0.815517817859619,0.3620760219560516,1,0.3620760219560516,0.27257321805197054,0.523886036492747,0.1618100145366954
1,200,0.01,w005,0.5,-23353.466560226487,-5315.464397738164,-18038.002162488323,35315.83749384545,-93683.12616704949,0.33237768052996,0.66762231947004,-0.19353445741850914,0,-0.19353445741850914,0.27880949755583356,0.21718141466315985,0.410715872081669
2,250,0.0125,w005,0.5,-24321.837061931,4127.735233888554,-28449.572295819555,24904.26736051422,-87936.1230027269,0.3783071750300329,0.6216928249699671,-0.2685000032150489,0,-0.2685000032150489,0.2686210942573399,0.19838293008866875,0.46688293330371766
3,300,0.015,w005,0.5,-15697.19141817055,-22571.376470352,6874.185052181449,60228.02470851522,-103857.42613712596,0.24060316823845396,0.759396831761546,0.16557988882202604,1,0.16557988882202604,0.25072977669324503,0.3511003115028678,0.18552042268084176
4,350,0.0175,w005,0.5,1472.9603314491978,-14794.567425088899,16267.527756538097,69621.36741287187,-93953.67747000273,0.21285873309962333,0.7871412669003767,0.23072224560598636,1,0.23072224560598636,0.24111848492569693,0.515437300162922,0.28471505455693563
5,400,0.02,w005,0.5,-17007.934373278724,-19317.893027469923,2309.9586541911995,55663.79831052497,-101735.56976007496,0.2554131381479777,0.7445868618520223,0.09500258643464754,1,0.09500258643464754,0.2507007808132943,0.28129913952777197,0.18629655309312443
6,450,0.0225,w005,0.5,-19787.64557012971,-4434.485149559972,-15353.160420569737,38000.67923576404,-91924.81889434409,0.32121309934564535,0.6787869006543547,-0.15564932648257457,0,-0.15564932648257457,0.27997393841983675,0.23361699668032482,0.3892663231628994
7,500,0.025,w005,0.5,-20617.420516462997,-13582.929203600215,-7034.491312862781,46319.34834347099,-98539.13170729151,0.28854261608584086,0.7114573839141591,-0.10787736386335683,0,-0.10787736386335683,0.31847995396209466,0.22537605518396753,0.33325341904732436
8,550,0.0275,w005,0.5,-9014.007092449989,-24491.13137069749,15477.124278247502,68830.96393458128,-103819.35236295128,0.21505580502397886,0.7849441949760212,0.20760945387306437,1,0.20760945387306437,0.3500760866335702,0.38586083088615664,0.17825137701309227
9,600,0.03,w005,0.5,741.8172774767445,-20399.134503735113,21140.951781211857,74494.79143754563,-98552.96902760855,0.19984720254303878,0.8001527974569612,0.2229674478289918,1,0.2229674478289918,0.36997549830005605,0.46634051317528,0.24337306534628822
10,650,0.0325,w005,0.5,-17776.025290322577,-17322.065560439078,-453.9597298834997,52899.879926450274,-100458.60270545616,0.2648168291426328,0.7351831708573672,-0.10375106726919117,0,-0.10375106726919117,0.37265859230922455,0.16893441926312555,0.2726854865323167
11,700,0.035,w005,0.5,-18130.912420597975,-590.6086359268811,-17540.303784671094,35813.53587166268,-88793.36752518183,0.330285899996412,0.669714100003588,-0.2016876904622312,0,-0.2016876904622312,0.3519412275165476,0.21982176053743754,0.42150945099966874
12,750,0.0375,w005,0.5,-12652.343653829652,-18751.02480342833,6098.681149598677,59452.52080593245,-100224.61297949096,0.24305694587597093,0.7569430541240291,0.09670803920995746,1,0.09670803920995746,0.3100863491725032,0.3576132731637849,0.2609052339538274
13,800,0.04,w005,0.5,-3994.832391778851,-22087.338768891495,18092.506377112644,71446.34603344642,-100862.54957331126,0.2078793087373842,0.7921206912626158,0.2575683697904584,1,0.2575683697904584,0.2575158473614969,0.46393602210421175,0.20636765231375334
14,850,0.0425,w005,0.5,-16119.580737893237,-15400.286751925509,-719.2939859677281,52634.545670366046,-98607.21088207889,0.2657369999410253,0.7342630000589747,0.04720996599348509,1,0.04720996599348509,0.2093680249703745,0.3388242259622553,0.2916142599687702
15,900,0.045,w005,0.5,-24073.33701286171,-9158.968024581263,-14914.368988280447,38439.47066805333,-96508.75064802059,0.3194166085296545,0.6805833914703455,-0.19933011937938522,0,-0.19933011937938522,0.17888473114460784,0.13912761836691762,0.33845773774630283
16,950,0.0475,w005,0.5,-18804.04604487584,-9721.010112150863,-9083.035932724975,44270.8037236088,-95276.2329268039,0.29631292269494286,0.7036870773050572,-0.048947614014890894,0,-0.048947614014890894,0.19590835548626073,0.2944573894059866,0.3434050034208775
17,1000,0.05,w005,0.5,-15953.148813430074,-21820.964216975146,5867.815403545072,59221.655059878845,-103350.75076232612,0.24379234844239933,0.7562076515576006,0.13700930492525298,1,0.13700930492525298,0.2371244224355706,0.3267593187252355,0.18975001379998252
18,1050,0.0525,w005,0.5,-8393.38130710175,-18643.504999936034,10250.123692834284,63603.96334916806,-99134.96112393765,0.23021548604870595,0.769784513951294,0.15911827692630015,1,0.15911827692630015,0.2750175162144578,0.415613272161767,0.25649499523546687
19,1100,0.055,w005,0.5,-14146.619988204242,-17227.007889950095,3080.387901745853,56434.22755807963,-99448.8955937541,0.2528507157009062,0.7471492842990938,0.014219341782620298,1,0.014219341782620298,0.2963197841543743,0.28617966493267205,0.27196032315005175
