frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,250,0.0125,w007,0.7,-16572.018871972767,-24126.649029859967,7554.630157887201,60908.469814220975,-105249.70794076135,0.238471073679831,0.761528926320169,0.0969016923076367,1,0.0969016923076367,0.25308822986115115,0.23381869480945858,0.13691700250182187
1,300,0.015,w007,0.7,-22822.36242873716,-20168.8912030575,-2653.4712256796593,50700.36843065411,-103896.34793660509,0.2725371957106558,0.7274628042893442,-0.10425578264365734,0,-0.10425578264365734,0.25203199853516706,0.1336909478043861,0.23794673044804343
2,350,0.0175,w007,0.7,-12132.619472532944,-22591.612529388178,10458.993056855234,63812.83271318901,-103035.04921528706,0.22958836940599353,0.7704116305940065,0.10430103718279723,1,0.10430103718279723,0.25006868702184765,0.2366569444273306,0.13235590724453336
3,400,0.02,w007,0.7,-20085.63908644618,-19757.24052212112,-328.39856432505985,53025.44109200872,-102860.55423495501,0.26438245314355224,0.7356175468564478,-0.036542756159248235,0,-0.036542756159248235,0.2459130916509039,0.1765833504366062,0.21312610659585443
4,450,0.0225,w007,0.7,-16933.87847497595,-21957.884560467784,5024.006085491834,58377.8457418256,-103694.5253873282,0.24649948948981493,0.7535005105101851,0.08367205397804794,1,0.08367205397804794,0.2387988172676409,0.23235096687767756,0.14867891289962962
5,500,0.025,w007,0.7,-21075.593569416116,-19974.115798470393,-1101.477770945723,52252.36188538805,-103282.85439998275,0.26706777941036275,0.7329322205896373,-0.02241361589663618,0,-0.02241361589663618,0.22935086195811968,0.19422974084131187,0.21664335673794805
6,550,0.0275,w007,0.7,-20103.327388323043,-20932.09476293762,828.7673746145774,54182.60703094835,-103731.77724942652,0.26041147045292545,0.7395885295470745,-0.013620506823388223,0,-0.013620506823388223,0.2194541224779979,0.14336778283599225,0.15698828965938047
7,600,0.03,w007,0.7,-23298.787425520983,-23291.212424539335,-7.575000981647463,53346.264655352126,-106309.8836754873,0.26327568063635004,0.7367243193636499,-0.013177993826742479,0,-0.013177993826742479,0.2126425583337784,0.14805077136676573,0.1612287651935082
8,650,0.0325,w007,0.7,-23996.79569021584,-22897.522826775923,-1099.2728634399173,52254.56679289386,-106205.6725770212,0.26706008361782074,0.7329399163821793,-0.008152021626254946,0,-0.008152021626254946,0.21247938103375041,0.18644690048837162,0.19459892211462657
9,700,0.035,w007,0.7,-20832.32406218534,-24231.099530199906,3398.7754680145663,56752.61512434834,-106372.65021650071,0.25179922387336073,0.7482007761266393,0.07451671708909685,1,0.07451671708909685,0.2192111362189777,0.2224529160792638,0.14793619899016694
