branch,window_id,frame,proton_transfer_rc_nm,ring_opening_rc_nm,delta_e_shifted_kj_mol,evb_energy_kj_mol
forward,p000,0,-0.08550180379434966,0.14378156641855117,-30416.834212601127,-38912.281040330716
forward,p000,1,-0.08516372410636994,0.14203327080653638,-34740.593992055336,-38854.72480519178
forward,p000,2,-0.08536243746811469,0.14747353647896597,-23378.82854825532,-38819.61109675094
forward,p000,3,-0.0830453034437151,0.15054364316297472,-18884.018082338793,-38796.95708661928
forward,p000,4,-0.08613491991266678,0.1497360347530047,-20118.005182717403,-38710.731695707684
forward,p000,5,-0.08672981025880362,0.14543570763601324,-27041.2419430273,-38783.56756491669
forward,p000,6,-0.08788248498134742,0.14444660995058833,-29134.106155248766,-38836.43509353413
forward,p000,7,-0.087764851097062,0.14816358478943933,-22385.03078169044,-38790.98535034622
forward,p000,8,-0.08283412043206176,0.14979230280387593,-19881.991226793674,-38736.339912818694
forward,p000,9,-0.08510972383992585,0.14788733524110823,-22642.21371406637,-38602.97794349988
forward,p000,10,-0.08513364927773318,0.14375582776788154,-30472.612727465515,-38677.19794662136
forward,p000,11,-0.08576932701197779,0.14583333444203445,-26229.61820283759,-38641.93163119341
forward,p000,12,-0.09103658607200399,0.1517119934010167,-17862.570977632364,-38700.59955309245
forward,p000,13,-0.08684823389049953,0.14740997946645526,-23544.677850844746,-38704.50367538557
forward,p000,14,-0.09133802633950373,0.1441876275110024,-29826.629407527333,-38642.80122793935
forward,p000,15,-0.0866291549028559,0.14957645859125362,-20264.174604418164,-38641.64538480497
forward,p000,16,-0.08297739749062327,0.1515493279101808,-17723.4499925407,-38529.67473150395
forward,p000,17,-0.08482058583237462,0.1456837928192862,-26530.161472533306,-38521.08441575107
forward,p000,18,-0.0805543858953028,0.1433953206667624,-31130.459916565975,-38599.9239181784
forward,p000,19,-0.08443618898642331,0.14900813140533187,-21021.554247503576,-38504.19843481762
forward,p000,20,-0.08805862519832469,0.1495976251461718,-20339.844410066376,-38506.457249832325
forward,p000,21,-0.0901023173170483,0.1478515730968773,-23058.8556214617,-38438.912338605325
forward,p000,22,-0.0925077969421702,0.1477621892849268,-23300.138381366763,-38465.29524333793
forward,p000,23,-0.08857939971046108,0.14348581501356275,-31292.355536689458,-38430.678908964226
forward,p000,24,-0.08614548105926391,0.14254458879510007,-33523.93709117657,-38427.81217337304
forward,p000,25,-0.08229765718037062,0.15212752583493172,-17017.32817519168,-38412.46450321919
forward,p000,26,-0.08252644166855776,0.15279422846847254,-16367.097710256552,-38373.72507127162
forward,p000,27,-0.08328544770330938,0.14418535052882753,-29530.751365309,-38283.53155667123
forward,p000,28,-0.08589116521179992,0.1437973386736185,-30454.39514780551,-38312.40913648786
forward,p000,29,-0.0891975346482133,0.1477827637653829,-23091.281086092058,-38298.62102722592
forward,p000,30,-0.08586836826033645,0.15225629195675122,-17050.774479871558,-38256.8811431848
forward,p000,31,-0.08915264325541926,0.14696773726862533,-24369.96558041073,-38215.3023881662
forward,p000,32,-0.08872332409377687,0.14280427434473775,-32874.958751625294,-38139.69613131585
forward,p000,33,-0.08565172306303788,0.14834106572202424,-22006.366012154962,-38201.265508812125
forward,p000,34,-0.08428463835602568,0.1496873831296736,-20039.293304524705,-38193.560525406996
forward,p000,35,-0.08217194701699869,0.14432305534327777,-29117.779618986155,-38074.571828056214
forward,p000,36,-0.08546854715461918,0.14674602348060978,-24665.059914358775,-37991.999075509775
forward,p000,37,-0.08703373412458201,0.14747710604743666,-23432.190484652238,-38097.57042837427
forward,p000,38,-0.08605813614721805,0.14570499698926578,-26555.35863078659,-38148.840481851774
forward,p000,39,-0.08935000357339282,0.15208442470689024,-17380.17872131936,-38027.04582854339
forward,p001,0,-0.08505771427681581,0.1461414887761939,-25657.304678683256,-38907.5349381359
forward,p001,1,-0.08026553649718045,0.1397411743778928,-41299.757069292886,-38809.15976616886
forward,p001,2,-0.08204453401849933,0.14810260077997073,-22248.399632575834,-38866.20727036154
forward,p001,3,-0.08073557066107326,0.15110387277528212,-18128.45976984827,-38779.880941522104
forward,p001,4,-0.08586659178380593,0.1467265652871685,-24698.338746371155,-38792.42154391764
forward,p001,5,-0.0898059074560775,0.1459128738868264,-26321.647781555017,-38733.58312503352
forward,p001,6,-0.08586759069347569,0.14626371856554632,-25496.922027114255,-38737.32763184439
forward,p001,7,-0.08622567823848264,0.14713309906629884,-23942.942862753232,-38805.69138043849
forward,p001,8,-0.0800678493757268,0.1456295949458137,-26423.232627991063,-38733.33639859187
forward,p001,9,-0.08287449521938824,0.14967357034251103,-19976.913865688082,-38723.77084800112
forward,p001,10,-0.08126700727617493,0.14568763947809824,-26355.671025993885,-38695.51258879344
forward,p001,11,-0.08084180848763022,0.1408002399236196,-37938.925717148086,-38667.16130983819
forward,p001,12,-0.08562265536953097,0.14882268877389185,-21297.59387621528,-38641.75907349409
forward,p001,13,-0.08528565721759335,0.15465254739729706,-14705.878832148912,-38644.922984565776
forward,p001,14,-0.08842627387896715,0.14543138091885527,-27166.73926997432,-38738.95403531016
forward,p001,15,-0.08765105436333054,0.14278889925885097,-32893.74091923516,-38631.455984462904
forward,p001,16,-0.08153419619481887,0.15190256210853018,-17216.938963773195,-38536.53743140537
forward,p001,17,-0.08316045952476955,0.1529049991939573,-16258.78494238996,-38497.57584919354
forward,p001,18,-0.08278110401079976,0.14439947077600587,-29000.315537333896,-38497.19175239294
forward,p001,19,-0.08202760765640055,0.14502574420445047,-27628.924419641437,-38485.5048172066
forward,p001,20,-0.08474857107751523,0.15474732266007055,-14596.263598919322,-38392.22098623325
forward,p001,21,-0.08335476435559595,0.14804292584771725,-22393.42263668956,-38389.306454281206
forward,p001,22,-0.08423345038817069,0.1381248108002705,-47127.70090389432,-38302.30992681087
forward,p001,23,-0.08479550610749965,0.14541946295839306,-26946.398613484518,-38327.03811081343
forward,p001,24,-0.08119918149671226,0.1521661309121384,-16867.267023802677,-38302.35905810875
forward,p001,25,-0.08376866640329206,0.15025783061402764,-19249.334081472305,-38189.17798193029
forward,p001,26,-0.08378765277961746,0.14627549971216608,-25474.392273025063,-38205.33584899787
forward,p001,27,-0.08347742561661961,0.148537768175211,-21605.112575533276,-38279.52471726181
forward,p001,28,-0.08590000747817213,0.1468960079401803,-24343.63151139248,-38267.473687082645
forward,p001,29,-0.08775904666915856,0.1447720357543166,-28447.36997776985,-38129.955867370016
forward,p001,30,-0.08048172688411913,0.15224838374728947,-16768.801058474404,-38257.195512308244
forward,p001,31,-0.08258423227132698,0.15091065397310532,-18432.243597512424,-38233.263884003274
forward,p001,32,-0.08515217873833542,0.14001500385805046,-40512.82415944859,-38224.12640580897
forward,p001,33,-0.08133477977626599,0.14241073020603023,-33567.19772288785,-38140.876785869055
forward,p001,34,-0.08679768849125079,0.15410951292345176,-15239.37758035044,-38240.37556465681
forward,p001,35,-0.08431297647622459,0.1511036676402704,-18331.18344718771,-38097.27870877112
forward,p001,36,-0.08845686594684497,0.14414197533669446,-29758.189743910392,-38041.83090000828
forward,p001,37,-0.08754504379570742,0.1433696631486735,-31523.841617917118,-38018.0079546315
forward,p001,38,-0.08243648706367061,0.14882193303801158,-21126.95256436331,-38023.9156026623
forward,p001,39,-0.08385206734147105,0.14991251979980974,-19760.079864627158,-38034.71769505517
forward,p002,0,-0.08146284801650562,0.14314141288023763,-31775.72539466992,-39038.841397293116
forward,p002,1,-0.08128783917257905,0.1428078019349231,-32631.452098641515,-38977.31488064638
