frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,1100,0.11,p006,0.076,-39199.139723409695,-14808.083347453125,-24391.05637595657,-24391.05637595657,-39199.15612285238,0.9999993276461512,6.723538488184744e-07,-0.07173348548330064,0,-0.07173348548330064,0.1465884147193085,0.12467367906062132,0.19640716454392196
1,1200,0.12,p006,0.076,-39088.13596959485,-4841.225522429071,-34246.91044716578,-34246.91044716578,-39088.14764947658,0.9999996589510234,3.4104897667086576e-07,-0.07272268677168509,0,-0.07272268677168509,0.14203976360111126,0.11852800542568973,0.1912506921973748
2,1300,0.13,p006,0.076,-39111.237865751405,-14297.984084308933,-24813.253781442472,-24813.253781442472,-39111.25398615801,0.9999993503316493,6.49668350671817e-07,-0.07678016698875809,0,-0.07678016698875809,0.14645740376428532,0.11950797837808094,0.19628814536683903
3,1400,0.14,p006,0.076,-39030.29309793029,-21014.140740704577,-18016.152357225714,-18016.152357225714,-39030.31530020185,0.9999987676493629,1.232350637092594e-06,-0.07386771596556553,0,-0.07386771596556553,0.15104438821716132,0.12039449236938111,0.19426220833494665
4,1500,0.15,p006,0.076,-38972.89695138697,-16815.52312785838,-22157.373823528585,-22157.373823528585,-38972.9150040532,0.9999991852537691,8.147462309815445e-07,-0.07065139753889099,0,-0.07065139753889099,0.14790357689112557,0.11949033898855993,0.19014173652745092
5,1600,0.16,p006,0.076,-38993.93336859695,-6295.409258691274,-32698.524109905673,-32698.524109905673,-38993.9456015604,0.9999996258866529,3.7411334707915245e-07,-0.07194684697867858,0,-0.07194684697867858,0.1426684578301594,0.12242522959658735,0.19437207657526592
6,1700,0.17,p006,0.076,-38926.540438842174,-11860.463864928839,-27066.076573913335,-27066.076573913335,-38926.55521748142,0.9999994539798529,5.460201470408599e-07,-0.07529506198941802,0,-0.07529506198941802,0.14526037829016641,0.12002826065802708,0.1953233226474451
7,1800,0.18,p006,0.076,-38938.499546733015,-15325.806303940102,-23612.693242792913,-23612.693242792913,-38938.516486762215,0.9999992825890414,7.174109586394195e-07,-0.07498591682217609,0,-0.07498591682217609,0.14712414889130004,0.11749034116906182,0.1924762579912379
8,1900,0.19,p006,0.076,-38902.02456544226,-18623.136103906523,-20278.88846153574,-20278.88846153574,-38902.04429037007,0.9999990273190036,9.726809964694105e-07,-0.07139602568753003,0,-0.07139602568753003,0.1492572333104434,0.12218469417740643,0.19358071986493647
9,2000,0.2,p006,0.076,-38839.76537938838,-16774.82341112205,-22064.94196826633,-22064.94196826633,-38839.783507678585,0.9999991784134106,8.215865893723695e-07,-0.07166159187251273,0,-0.07166159187251273,0.14798950436343547,0.12052306291960796,0.19218465479212068
10,2100,0.21,p006,0.076,-38766.92549736472,-4042.617706216988,-34724.30779114773,-34724.30779114773,-38766.937016669,0.9999996682641823,3.3173581764911475e-07,-0.07319777262617096,0,-0.07319777262617096,0.1418949033874148,0.11825114313408779,0.19144891576025874
11,2200,0.22,p006,0.076,-38789.270618764334,-10273.126318120427,-28516.144300643908,-28516.144300643908,-38789.28464589924,0.9999995080989574,4.919010425097348e-07,-0.07498773635806248,0,-0.07498773635806248,0.14451900340199195,0.12200898866910952,0.196996725027172
12,2300,0.23,p006,0.076,-38752.326987735956,-19790.42590716816,-18961.901080567797,-18961.901080567797,-38752.34808264376,0.9999988875133999,1.112486600063356e-06,-0.0746725541363537,0,-0.0746725541363537,0.15026176625697846,0.11974138820572709,0.1944139423420808
13,2400,0.24,p006,0.076,-38708.73102806209,-23368.75821299324,-15339.972815068846,-15339.972815068846,-38708.75710368327,0.9999983001578394,1.699842160529652e-06,-0.07293630131532998,0,-0.07293630131532998,0.15346494337563046,0.12145461149149193,0.1943909128068219
14,2500,0.25,p006,0.076,-38766.38754668285,-17118.770229594695,-21647.617317088152,-21647.617317088152,-38766.40602445122,0.9999991464309186,8.535690813604724e-07,-0.07228198000949546,0,-0.07228198000949546,0.1483202674138271,0.1246421250462221,0.19692410505571756
15,2600,0.26,p006,0.076,-38708.57665334697,-12847.157650216483,-25861.41900313049,-25861.41900313049,-38708.59212039311,0.9999994019265676,5.98073432445112e-07,-0.07458425224947247,0,-0.07458425224947247,0.14582411119072908,0.12121348208058873,0.1957977343300612
16,2700,0.27,p006,0.076,-38684.992471985344,-20189.349960466905,-18495.64251151844,-18495.64251151844,-38685.01409867563,0.9999988307170351,1.1692829648413117e-06,-0.07697217289535552,0,-0.07697217289535552,0.15076094945688553,0.1205153770314393,0.19748754992679482
17,2800,0.28,p006,0.076,-38709.417314762366,-21770.266505532345,-16939.15080923002,-16939.15080923002,-38709.44092866409,0.9999986059610575,1.3940389424482724e-06,-0.07686208769267547,0,-0.07686208769267547,0.15206387253191203,0.12135558817271447,0.19821767586538994
18,2900,0.29,p006,0.076,-38590.21255269178,-12841.445312433963,-25748.767240257817,-25748.767240257817,-38590.2280874067,0.9999993966819447,6.033180552367234e-07,-0.07195196200469212,0,-0.07195196200469212,0.1458216398937663,0.12210444354181402,0.19405640554650613
19,3000,0.3,p006,0.076,-38545.51547728738,-14911.687245831214,-23633.828231456166,-23633.828231456166,-38545.532402167664,0.999999283871581,7.161284190093653e-07,-0.07059435825930561,0,-0.07059435825930561,0.14698932908771123,0.12370886261676957,0.19430322087607518
20,3100,0.31,p006,0.076,-38561.44782477085,-22610.709417811915,-15950.738406958932,-15950.738406958932,-38561.472901940375,0.9999984278413928,1.5721586071881788e-06,-0.07453706573631397,0,-0.07453706573631397,0.15283802782943065,0.12022585762662535,0.19476292336293932
21,3200,0.32,p006,0.076,-38529.585696935654,-14881.081949198182,-23648.50374773747,-23648.50374773747,-38529.602611312905,0.9999992847601168,7.152398832088736e-07,-0.07535458199150438,0,-0.07535458199150438,0.14707674243456104,0.11731280519426845,0.19266738718577284
22,3300,0.33,p006,0.076,-38605.12102099674,-7640.559326395247,-30964.561694601492,-30964.561694601492,-38605.13393898463,0.9999995828141459,4.1718585408467845e-07,-0.07465095778554474,0,-0.07465095778554474,0.1433810559649543,0.12095144093345946,0.1956023987190042
23,3400,0.34,p006,0.076,-38423.18803292958,-7459.03191614509,-30964.156116784492,-30964.156116784492,-38423.20095108668,0.999999582803217,4.1719678300911056e-07,-0.07046190683276216,0,-0.07046190683276216,0.14330437598231005,0.12089074782225898,0.19135265465502113
24,3500,0.35000000000000003,p006,0.076,-38424.10611234108,-14368.687304177409,-24055.418808163668,-24055.418808163668,-38424.122740599625,0.9999993087530217,6.912469782682784e-07,-0.07011393985951031,0,-0.07011393985951031,0.14668377135117747,0.12095427055771257,0.19106821041722288
25,3600,0.36,p006,0.076,-38421.899885543884,-21633.44004670516,-16788.459838838724,-16788.459838838724,-38421.923711400224,0.999998580823438,1.4191765620452657e-06,-0.07333484376746571,0,-0.07333484376746571,0.1519997103552636,0.12134054886304363,0.19467539263050934
26,3700,0.37,p006,0.076,-38445.78530203624,-15793.151958219096,-22652.633343817142,-22652.633343817142,-38445.802960013665,0.9999992204901909,7.795098092011621e-07,-0.07666823644780886,0,-0.07666823644780886,0.14770451517454788,0.11920555992646002,0.19587379637426888
27,3800,0.38,p006,0.076,-38469.49160990238,-4844.436553866923,-33625.05505603546,-33625.05505603546,-38469.50350578948,0.9999996462198008,3.537801992470335e-07,-0.07688117898107205,0,-0.07688117898107205,0.1423076755462248,0.11889035778135809,0.19577153676243014
28,3900,0.39,p006,0.076,-38429.747291770094,-11021.003543909494,-27408.7437478606,-27408.7437478606,-38429.76188564535,0.9999994675472965,5.324527035388549e-07,-0.07246173098188863,0,-0.07246173098188863,0.14493333486528545,0.12092683026540879,0.19338856124729742
29,4000,0.4,p006,0.076,-38464.483582448476,-18717.680862379115,-19746.80272006936,-19746.80272006936,-38464.50383887152,0.9999989741943658,1.0258056342138389e-06,-0.06868577023704042,0,-0.06868577023704042,0.14946469657373565,0.12297987618431139,0.1916656464213518
30,4100,0.41000000000000003,p006,0.076,-38339.28127026456,-18681.44366979596,-19657.8376004686,-19657.8376004686,-38339.30161836154,0.9999989648884444,1.03511155558067e-06,-0.07101840163408836,0,-0.07101840163408836,0.14956884830378034,0.12051056155197352,0.19152896318606188
31,4200,0.42,p006,0.076,-38320.876588844956,-11509.744283939566,-26811.13230490539,-26811.13230490539,-38320.891508012595,0.9999994435464021,5.56453597921891e-07,-0.07635276749263398,0,-0.07635276749263398,0.1453466852209654,0.11944329460808586,0.19579606210071984
32,4300,0.43,p006,0.076,-38234.39882146221,-6197.953075401339,-32036.44574606087,-32036.44574606087,-38234.41130723692,0.9999996102637265,3.8973627342064887e-07,-0.07703693479413434,0,-0.07703693479413434,0.14295970186221724,0.12029870120886604,0.1973356360030004
33,4400,0.44,p006,0.076,-38294.661106415355,-16036.511551806558,-22258.149554608797,-22258.149554608797,-38294.67907734668,0.9999991926147203,8.073852797441106e-07,-0.07278110549673046,0,-0.07278110549673046,0.1478391698406511,0.11982632990087459,0.19260743539760505
34,4500,0.45,p006,0.076,-38191.991726077424,-23204.61467484184,-14987.377051235584,-14987.377051235584,-38192.018415156264,0.9999982192358481,1.7807641519151929e-06,-0.07030295108865182,0,-0.07030295108865182,0.1536867001080518,0.12392987743102025,0.19423282851967208
35,4600,0.46,p006,0.076,-38121.57154688917,-17627.839049019705,-20493.732497869467,-20493.732497869467,-38121.591065033026,0.9999990476060581,9.523939418776273e-07,-0.07192411894716967,0,-0.07192411894716967,0.14902126194992404,0.121603269129603,0.19352738807677267
