frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,proton_transfer_rc,ring_opening_rc,donor_h,h_acceptor
0,1100,0.11,p004,0.052,105443.88104068369,-39145.02179189262,144588.9028325763,144588.9028325763,-39145.024558356614,1.9133307160856816e-08,0.9999999808666928,0.09174738752238785,1,0.09174738752238785,0.35952333060261454,0.1940891485444713,0.10234176102208344
1,1200,0.12,p004,0.052,116159.06765462508,-39036.43331228939,155195.50096691446,155195.50096691446,-39036.43588968365,1.6607402675283822e-08,0.9999999833925973,0.09183644631456671,1,0.09183644631456671,0.35305502564964686,0.1935333175572454,0.10169687124267869
2,1300,0.13,p004,0.052,111759.96782551994,-38985.51747584756,150745.4853013675,150745.4853013675,-38985.520129326644,1.760237783310359e-08,0.9999999823976222,0.09214905586804924,1,0.09214905586804924,0.347541111441867,0.1940911058595465,0.10194204999149727
3,1400,0.14,p004,0.052,115452.54554445171,-38876.05251654997,154328.59806100168,154328.59806100168,-38876.05510842211,1.679450267744187e-08,0.9999999832054973,0.08918261031370063,1,0.08918261031370063,0.348740782672756,0.19091261118429106,0.10173000087059043
4,1500,0.15,p004,0.052,119775.31696191427,-38925.5641454673,158700.88110738157,158700.88110738157,-38925.56666593216,1.5881857495791962e-08,0.9999999841181425,0.08430460934179253,1,0.08430460934179253,0.3475938394469658,0.18577997876402733,0.1014753694222348
5,1600,0.16,p004,0.052,124474.51182444699,-38928.351671699784,163402.86349614678,163402.86349614678,-38928.35411963727,1.498099455599089e-08,0.9999999850190054,0.08372010404401907,1,0.08372010404401907,0.34640320077592157,0.18494140193748626,0.10122129789346719
6,1700,0.17,p004,0.052,128733.76819576867,-38967.632039028365,167701.40023479704,167701.40023479704,-38967.6344242201,1.4222848843115088e-08,0.9999999857771511,0.08374319043010241,1,0.08374319043010241,0.34632556112547125,0.1847386035362538,0.10099541310615139
7,1800,0.18,p004,0.052,128557.82100920295,-38860.19458089344,167418.0155900964,167418.0155900964,-38860.19697012253,1.4271038961677363e-08,0.999999985728961,0.08328237568791678,1,0.08328237568791678,0.3462159194489975,0.18429120299820848,0.10100882731029169
8,1900,0.19,p004,0.052,123287.49939786879,-38888.65138075009,162176.15077861887,162176.15077861887,-38888.653847203954,1.5208486414675093e-08,0.9999999847915135,0.08434984574502888,1,0.08434984574502888,0.347456015155475,0.1856429617288028,0.10129311598377391
9,2000,0.2,p004,0.052,108262.1981455216,-38939.651746557705,147201.8498920793,147201.8498920793,-38939.654463914805,1.846007369188385e-08,0.9999999815399263,0.08365245700469955,1,0.08365245700469955,0.3495583942877873,0.18579413408573536,0.10214167708103582
10,2100,0.21,p004,0.052,111668.76539755796,-38912.62329058879,150581.38868814675,150581.38868814675,-38912.62594695951,1.764076323906849e-08,0.9999999823592367,0.08562270817990154,1,0.08562270817990154,0.3492567894850243,0.18756932413836938,0.10194661595846784
11,2200,0.22,p004,0.052,124064.63952616285,-38845.618142985855,162910.2576691487,162910.2576691487,-38845.620598325375,1.507173019721364e-08,0.9999999849282698,0.08952594982581691,1,0.08952594982581691,0.3489669422403003,0.1907847853192434,0.10125883549342649
12,2300,0.23,p004,0.052,114704.06952851886,-38849.47099798077,153553.54052649962,153553.54052649962,-38849.47360293531,1.696447016197311e-08,0.9999999830355298,0.0964430730010396,1,0.0964430730010396,0.3435727049225275,0.1982352404743408,0.10179216747330119
13,2400,0.24,p004,0.052,91480.28492058426,-38801.795671629865,130282.08059221413,130282.08059221413,-38801.79874189086,2.3566255891172005e-08,0.9999999764337442,0.0951301771811723,1,0.0951301771811723,0.34208912534915314,0.19836868146262407,0.10323850428145177
14,2500,0.25,p004,0.052,96896.80975314204,-38795.24573994422,135692.05549308626,135692.05549308626,-38795.248687795436,2.1724566534597756e-08,0.9999999782754334,0.08741293873509369,1,0.08741293873509369,0.33895936346253047,0.19026983692901858,0.10285689819392489
15,2600,0.26,p004,0.052,128705.73678766147,-38709.65066130384,167415.3874489653,167415.3874489653,-38709.65305057044,1.4271487103201252e-08,0.9999999857285129,0.08222095586254989,1,0.08222095586254989,0.3421425788885442,0.18321466820808852,0.10099371234553862
16,2700,0.27,p004,0.052,128882.33783036945,-38743.996635996096,167626.33446636554,167626.33446636554,-38743.99902225596,1.4235590151123745e-08,0.9999999857644098,0.08866730683326236,1,0.08866730683326236,0.34619688876002086,0.18967752297501989,0.10101021614175752
