frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p042,0.136,-38357.90822142459,19266.50920166797,-57624.41742309256,-57624.41742309256,-38357.915162925594,0.9999998795389238,1.2046107622509794e-07,-0.06126852571430949,0,0.12942591145905177,0.19069443717336126
1,1200,0.12,p042,0.136,-38298.264680137334,12428.05271548347,-50726.317395620805,-50726.317395620805,-38298.27256558927,0.9999998445491435,1.5545085652046708e-07,-0.05913584265974567,0,0.13196380429725557,0.19109964695700124
2,1300,0.13,p042,0.136,-38304.49828740553,7744.739462343045,-46049.23774974857,-46049.23774974857,-38304.50697375831,0.9999998113682238,1.8863177619898863e-07,-0.05931898877922065,0,0.13356274641667207,0.19288173519589272
3,1400,0.14,p042,0.136,-38181.25025695466,7690.156705554255,-45871.40696250892,-45871.40696250892,-38181.258976982026,0.9999998099028431,1.9009715690465612e-07,-0.057619244171194434,0,0.13375163240341748,0.1913708765746119
4,1500,0.15,p042,0.136,-38187.682448900654,15969.221521813917,-54156.90397071457,-54156.90397071457,-38187.68983484623,0.9999998636195384,1.3638046159059058e-07,-0.05848776101277808,0,0.13229805877084141,0.1907858197836195
5,1600,0.16,p042,0.136,-38171.938432238356,11813.045897130447,-49984.9843293688,-49984.9843293688,-38171.946434640304,0.9999998399039333,1.6009606673694776e-07,-0.05794495884104167,0,0.13044933877754863,0.1883942976185903
6,1700,0.17,p042,0.136,-38185.29721073806,9661.036426138686,-47846.33363687675,-47846.33363687675,-38185.30557083381,0.9999998252720285,1.747279715358374e-07,-0.05765082534210239,0,0.12824790758711355,0.18589873292921594
7,1800,0.18,p042,0.136,-38125.64371715288,18210.789083854062,-56336.432801006944,-56336.432801006944,-38125.650817353046,0.9999998739679099,1.2603209015304984e-07,-0.05823610138962204,0,0.12690657538530406,0.1851426767749261
8,1900,0.19,p042,0.136,-38082.479444555036,19225.40168016462,-57307.88112471966,-57307.88112471966,-38082.486424396964,0.9999998782045316,1.2179546837742805e-07,-0.059887732861790735,0,0.12478073470953492,0.18466846757132566
9,2000,0.2,p042,0.136,-38178.49797872189,6200.680620858417,-44379.17859958031,-44379.17859958031,-38178.50699195583,0.9999997969040761,2.0309592385636677e-07,-0.06282749364822024,0,0.12364600304112577,0.186473496689346
10,2100,0.21,p042,0.136,-38213.434620239976,6740.477125875215,-44953.91174611519,-44953.91174611519,-38213.44351824029,0.9999998020640153,1.9793598476924856e-07,-0.0658122153494361,0,0.12226665760369584,0.18807887295313194
11,2200,0.22,p042,0.136,-38198.22931823481,16292.31362002957,-54490.54293826438,-54490.54293826438,-38198.236658957154,0.9999998652845068,1.3471549320520637e-07,-0.06808671037576208,0,0.12150839806128486,0.18959510843704694
12,2300,0.23,p042,0.136,-38231.79134638037,8609.809307926305,-46841.600654306676,-46841.600654306676,-38231.799885796645,0.9999998176959572,1.8230404269514722e-07,-0.07069606436955836,0,0.11997042772226477,0.19066649209182313
13,2400,0.24,p042,0.136,-38182.50990626344,2976.014748319838,-41158.52465458328,-41158.52465458328,-38182.51962478248,0.9999997638760248,2.3612397515027084e-07,-0.06945241625900331,0,0.11977404702581651,0.18922646328481982
14,2500,0.25,p042,0.136,-38211.08404344227,13087.010990890354,-51298.095034332626,-51298.095034332626,-38211.091841001595,0.9999998479951946,1.520048054093337e-07,-0.06675574864224562,0,0.12220339151732576,0.18895914015957138
15,2600,0.26,p042,0.136,-38197.31731518899,21344.921462981,-59542.238778169994,-59542.238778169994,-38197.32403310829,0.9999998871739135,1.1282608647356085e-07,-0.06364835654130156,0,0.12406851708051465,0.18771687362181622
16,2700,0.27,p042,0.136,-38136.58615790802,3512.2199183687044,-41648.80607627673,-41648.80607627673,-38136.595762022655,0.9999997694025087,2.3059749132414709e-07,-0.06069401392045376,0,0.12720913274885273,0.1879031466693065
17,2800,0.28,p042,0.136,-38086.03944062712,-6461.233512647683,-31624.80592797944,-31624.80592797944,-38086.052088921024,0.9999996000518133,3.9994818668009913e-07,-0.056526554342296476,0,0.13009034886803522,0.1866169032103317
18,2900,0.29,p042,0.136,-38111.91079907853,8163.73514441782,-46275.64594349635,-46275.64594349635,-38111.919442932485,0.9999998132095068,1.867904931840414e-07,-0.05365002377278824,0,0.13140209131574662,0.18505211508853486
19,3000,0.3,p042,0.136,-37970.31272044973,32098.02699175605,-70068.33971220578,-70068.33971220578,-37970.31842916166,0.9999999185265267,8.147347330123011e-08,-0.05605577809851786,0,0.13104747217635523,0.1871032502748731
