frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p041,0.128,202089.27348802183,-38618.04696913008,240707.32045715192,240707.32045715192,-38618.048630899226,6.90369167388738e-09,0.9999999930963084,-0.055125548078276854,0,0.13204722201677724,0.1871727700950541
1,1200,0.12,p041,0.128,225242.42762660453,-38493.59860640578,263736.02623301034,263736.02623301034,-38493.60012307383,5.750704745732804e-09,0.9999999942492952,-0.05480654164109222,0,0.13235599197439427,0.1871625336154865
2,1300,0.13,p041,0.128,227474.12436918085,-38404.28223458148,265878.4066037623,265878.4066037623,-38404.28373902857,5.6584026908446106e-09,0.9999999943415974,-0.05661932724042798,0,0.13223239322375038,0.18885172046417836
3,1400,0.14,p041,0.128,235881.15934592238,-38402.38622943644,274283.5455753588,274283.5455753588,-38402.38768778129,5.3169242897332936e-09,0.9999999946830758,-0.058174552160995124,0,0.13147337360965147,0.1896479257706466
4,1500,0.15,p041,0.128,227162.28093044276,-38299.070128495805,265461.35105893854,265461.35105893854,-38299.07163530645,5.676195957704522e-09,0.999999994323804,-0.058673110042015614,0,0.1296841381863524,0.18835724822836802
5,1600,0.16,p041,0.128,230794.64904712714,-38369.19782603104,269163.8468731582,269163.8468731582,-38369.19931211471,5.521111623441044e-09,0.9999999944788884,-0.06263403338531681,0,0.1263578409325247,0.1889918743178415
6,1700,0.17,p041,0.128,226461.87078671597,-38379.04548572315,264840.9162724391,264840.9162724391,-38379.046996063786,5.702822047926048e-09,0.999999994297178,-0.06824092850420714,0,0.12328474773546248,0.19152567623966962
7,1800,0.18,p041,0.128,219597.31428211296,-38412.68209693566,258009.99637904862,258009.99637904862,-38412.683647263184,6.008788522304798e-09,0.9999999939912114,-0.06997656112117816,0,0.12051720476449772,0.19049376588567588
8,1900,0.19,p041,0.128,210207.77333532294,-38390.108491234336,248597.88182655728,248597.88182655728,-38390.11010025849,6.4723967851954e-09,0.9999999935276032,-0.072831585024768,0,0.11856480942068873,0.19139639444545672
9,2000,0.2,p041,0.128,220378.7653755408,-38409.462040908955,258788.22741644975,258788.22741644975,-38409.463586574304,5.972703442935767e-09,0.9999999940272966,-0.07428119517543581,0,0.11846598222302583,0.19274717739846164
10,2100,0.21,p041,0.128,233674.16234319305,-38409.33208224023,272083.4944254333,272083.4944254333,-38409.33355237718,5.4032566199069265e-09,0.9999999945967434,-0.0719617554144306,0,0.11919456018985596,0.19115631560428656
11,2200,0.22,p041,0.128,239034.17844887284,-38372.44813436348,277406.6265832363,277406.6265832363,-38372.44957629009,5.197880847962466e-09,0.9999999948021192,-0.06926764120232234,0,0.12109415852567162,0.19036179972799397
12,2300,0.23,p041,0.128,228896.09984208058,-38400.092222499516,267296.1920645801,267296.1920645801,-38400.09371896676,5.598535524065085e-09,0.9999999944014645,-0.06574326685763228,0,0.1248025133292945,0.19054578018692678
13,2400,0.24,p041,0.128,209982.76472328856,-38290.598016621865,248273.36273991043,248273.36273991043,-38290.59962774918,6.489328019387841e-09,0.999999993510672,-0.06350442109203394,0,0.12702730037725957,0.1905317214692935
14,2500,0.25,p041,0.128,197076.26631610954,-38264.069720227126,235340.33603633667,235340.33603633667,-38264.071419893255,7.222162312636726e-09,0.9999999927778377,-0.060956660736930735,0,0.12899369697070062,0.18995035770763136
15,2600,0.26,p041,0.128,170016.42109382778,-38358.17406508964,208374.59515891742,208374.59515891742,-38358.17598470942,9.212350216003529e-09,0.9999999907876498,-0.05944560874614896,0,0.13065641662368047,0.19010202536982942
16,2700,0.27,p041,0.128,178663.19585405014,-38369.83163634836,217033.0274903985,217033.0274903985,-38369.83347938581,8.491967518065024e-09,0.9999999915080324,-0.05869367253292429,0,0.1307450899299156,0.1894387624628399
17,2800,0.28,p041,0.128,178749.99953528252,-38300.8930130605,217050.89254834302,217050.89254834302,-38300.894855946244,8.490569636254719e-09,0.9999999915094304,-0.056629961276459695,0,0.13105929799941693,0.18768925927587662
18,2900,0.29,p041,0.128,200168.3500739306,-38211.41412382704,238379.76419775764,238379.76419775764,-38211.415801821815,7.039166083355752e-09,0.9999999929608339,-0.057206569330383455,0,0.13085351254910824,0.1880600818794917
19,3000,0.3,p041,0.128,231627.71251497275,-38128.93758832745,269756.6501033002,269756.6501033002,-38128.93907114539,5.4968725127224616e-09,0.9999999945031275,-0.05640960456235988,0,0.13084168785987738,0.18725129242223726
