frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p008,-0.104,-38666.786649973015,-7233.966965409549,-31432.819684563467,-31432.819684563467,-38666.79937552045,0.9999995951512698,4.048487302066306e-07,-0.1141398069417304,0,0.10899276711775904,0.22313257405948944
1,1200,0.12,p008,-0.104,-38556.22737761881,-2714.213831975707,-35842.0135456431,-35842.0135456431,-38556.23853770263,0.9999996886314197,3.1136858025249126e-07,-0.11713242584142496,0,0.1080375807827904,0.22517000662421535
2,1300,0.13,p008,-0.104,-38514.8608058774,-12387.198550819536,-26127.66225505786,-26127.66225505786,-38514.87611531311,0.9999994140532886,5.859467113178418e-07,-0.11781405558699992,0,0.10768219508986304,0.22549625067686296
3,1400,0.14,p008,-0.104,-38475.74883494066,-17292.454999902257,-21183.293835038407,-21183.293835038407,-38475.767717728515,0.9999991086016021,8.91398397873111e-07,-0.11762949863151462,0,0.10698131336798489,0.2246108119994995
4,1500,0.15,p008,-0.104,-38419.971465890005,-9416.782127628685,-29003.18933826132,-29003.18933826132,-38419.985257470136,0.9999995244810199,4.755189800809134e-07,-0.12096731475825435,0,0.10750421744321219,0.22847153220146654
5,1600,0.16,p008,-0.104,-38502.3640157842,-10726.744762952585,-27775.619252831617,-27775.619252831617,-38502.3784168958,0.9999994815202307,5.184797693957854e-07,-0.11822872288974773,0,0.10716047744456242,0.22538920033431015
6,1700,0.17,p008,-0.104,-38371.25572706829,-12430.424128093815,-25940.831598974473,-25940.831598974473,-38371.271146765255,0.9999994055827173,5.944172827843097e-07,-0.11596388794372486,0,0.10709029515358079,0.22305418309730565
7,1800,0.18,p008,-0.104,-38337.21606576431,-8081.744047952903,-30255.472017811408,-30255.472017811408,-38337.229286507485,0.9999995630300657,4.3696993434760856e-07,-0.11826173516396393,0,0.10818506896791646,0.2264468041318804
8,1900,0.19,p008,-0.104,-38412.10391420266,-10089.832511250715,-28322.27140295194,-28322.27140295194,-38412.11803735665,0.9999995013415517,4.986584482558065e-07,-0.11440711172486126,0,0.10818130044872604,0.2225884121735873
9,2000,0.2,p008,-0.104,-38395.55453616704,-15676.429194037686,-22719.12534212935,-22719.12534212935,-38395.57214246499,0.9999992250462815,7.749537185297584e-07,-0.1149477946953231,0,0.1085286893152545,0.2234764840105776
10,2100,0.21,p008,-0.104,-38343.44393356901,-19155.896558012348,-19187.547375556664,-19187.547375556664,-38343.46478040043,0.9999989135252303,1.0864747697625354e-06,-0.11489774638972121,0,0.10949876591033751,0.22439651230005872
11,2200,0.22,p008,-0.104,-38416.820108221844,-4272.181343969452,-34144.63876425239,-34144.63876425239,-38416.8318230877,0.9999996569049128,3.430950872296279e-07,-0.11488562877281357,0,0.10988318436142412,0.2247688131342377
12,2300,0.23,p008,-0.104,-38517.16041145875,-9490.882995602034,-29026.27741585672,-29026.27741585672,-38517.1741920688,0.9999995252371925,4.747628075674193e-07,-0.11853621450862908,0,0.11056601308500127,0.22910222759363036
13,2400,0.24,p008,-0.104,-38471.08550189092,-18350.597979377344,-20120.487522513577,-20120.487522513577,-38471.10538210527,0.9999990119436697,9.880563302533396e-07,-0.12371581000377777,0,0.11185319452040787,0.23556900452418564
14,2500,0.25,p008,-0.104,-38489.11122272021,-11044.98409228769,-27444.12713043252,-27444.12713043252,-38489.12579777977,0.999999468919379,5.310806210911956e-07,-0.12419762123746358,0,0.11104420459253023,0.2352418258299938
15,2600,0.26,p008,-0.104,-38439.98621735064,-6732.726725405839,-31707.259491944802,-31707.259491944802,-38439.99883275315,0.9999996021292074,3.9787079264552716e-07,-0.1271698390074248,0,0.11057025865597937,0.23774009766340418
16,2700,0.27,p008,-0.104,-38464.182986860134,-14005.062357720773,-24459.12062913936,-24459.12062913936,-38464.199340666906,0.9999993313829574,6.686170426761784e-07,-0.12300968487445126,0,0.10930744956256382,0.23231713443701507
17,2800,0.28,p008,-0.104,-38407.08036659635,-21107.47114085313,-17299.609225743217,-17299.609225743217,-38407.103488475004,0.9999986634486044,1.3365513955032604e-06,-0.12478278803405896,0,0.10931892391542439,0.23410171194948334
18,2900,0.29,p008,-0.104,-38428.79497249695,-15418.854054708558,-23009.940917788394,-23009.940917788394,-38428.81235627465,0.9999992445112529,7.554887470617722e-07,-0.12564188557499895,0,0.1089774155923079,0.23461930116730687
19,3000,0.3,p008,-0.104,-38393.74700706257,4587.743245549238,-42981.49025261181,-42981.49025261181,-38393.756313392136,0.999999783480622,2.1651937792688258e-07,-0.12790125459126983,0,0.109752474139702,0.23765372873097182
