frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p037,0.244,175411.80130912593,-38962.849043295864,214374.6503524218,214374.6503524218,-38962.8509091881,8.703884502025971e-09,0.9999999912961155,0.23879241091449693,1,0.33798200585746774,0.09918959494297079
1,1200,0.12,p037,0.244,206635.86393784054,-38855.0673464869,245490.93128432744,245490.93128432744,-38855.06897587498,6.63726373861806e-09,0.9999999933627363,0.24484998764015484,1,0.3428740371170883,0.09802404947693347
2,1300,0.13,p037,0.244,221397.31098590433,-38754.18463331627,260151.4956192206,260151.4956192206,-38754.186170881905,5.910270162168274e-09,0.9999999940897298,0.2552886997828603,1,0.35284085574174096,0.0975521559588807
3,1400,0.14,p037,0.244,222773.42778217813,-38726.334473466384,261499.7622556445,261499.7622556445,-38726.33600310449,5.849481732322914e-09,0.9999999941505182,0.2436009934984547,1,0.3410833438059683,0.09748235030751355
4,1500,0.15,p037,0.244,188734.93244553803,-38769.46787612888,227504.4003216669,227504.4003216669,-38769.46963433662,7.728236051107729e-09,0.999999992271764,0.25088823353982986,1,0.34960875680137304,0.09872052326154317
5,1600,0.16,p037,0.244,156823.94375025612,-38743.46369367934,195567.40744393546,195567.40744393546,-38743.4657390099,1.045844266744922e-08,0.9999999895415573,0.251690739132319,1,0.3517729237790063,0.10008218464668735
6,1700,0.17,p037,0.244,146539.46399399484,-38644.90130780742,185184.36530180226,185184.36530180226,-38644.903467816956,1.1664102850250657e-08,0.9999999883358972,0.24680271738782533,1,0.34736472718417116,0.10056200979634584
7,1800,0.18,p037,0.244,126195.43724171628,-38717.21437851942,164912.6516202357,164912.6516202357,-38717.21680404585,1.470794591673652e-08,0.999999985292054,0.25330295222733473,1,0.35496403327076675,0.10166108104343202
8,1900,0.19,p037,0.244,131165.80514947828,-38665.03056009335,169830.83570957163,169830.83570957163,-38665.03291537819,1.386841658179705e-08,0.9999999861315834,0.2544857845725671,1,0.35587880055746074,0.10139301598489366
9,2000,0.2,p037,0.244,162467.25896267247,-38725.188165980944,201192.4471286534,201192.4471286534,-38725.19015412712,9.88181297900681e-09,0.9999999901181871,0.25585399877947035,1,0.3556878905924899,0.09983389181301958
10,2100,0.21,p037,0.244,179674.95866743798,-38644.734599208256,218319.69326664624,218319.69326664624,-38644.736431383775,8.392167738513479e-09,0.9999999916078323,0.2589772528911076,1,0.3580873092377343,0.09911005634662666
11,2200,0.22,p037,0.244,196038.78514375,-38640.1156163298,234678.9007600798,234678.9007600798,-38640.11732078639,7.262930590279382e-09,0.9999999927370694,0.2532351755801906,1,0.3516919059374794,0.0984567303572888
12,2300,0.23,p037,0.244,193544.19797117656,-38753.05425241389,232297.25222359045,232297.25222359045,-38753.05597434557,7.412621683133835e-09,0.9999999925873784,0.2535868703556554,1,0.3521337678145928,0.09854689745893741
13,2400,0.24,p037,0.244,181628.609840562,-38769.88490420909,220398.4947447711,220398.4947447711,-38769.886719103495,8.234604220724862e-09,0.9999999917653958,0.2535929364040689,1,0.3526089311958974,0.09901599479182852
14,2500,0.25,p037,0.244,180854.55169597061,-38771.868118861836,219626.41981483245,219626.41981483245,-38771.86994013633,8.292601882953221e-09,0.9999999917073981,0.250632374621033,1,0.34966852330034043,0.09903614867930745
15,2600,0.26,p037,0.244,184414.24877615532,-38716.65417884724,223130.90295500256,223130.90295500256,-38716.655971516884,8.034161058656508e-09,0.9999999919658389,0.24278004267188003,1,0.341651799844051,0.09887175717217096
16,2700,0.27,p037,0.244,144515.27079895217,-38723.81185523278,183239.08265418495,183239.08265418495,-38723.814038173165,1.1913071695790478e-08,0.9999999880869284,0.2466251035252146,1,0.3472728544985397,0.10064775097332507
17,2800,0.28,p037,0.244,141384.55282960707,-38720.72859018535,180105.28141979242,180105.28141979242,-38720.73081110853,1.2331249299446512e-08,0.9999999876687506,0.2455453938129104,1,0.3463265759544049,0.10078118214149452
18,2900,0.29,p037,0.244,161594.72470458192,-38597.22723046623,200191.95193504816,200191.95193504816,-38597.22922854853,9.98083210523859e-09,0.9999999900191678,0.23200355612769163,1,0.33176489154459615,0.09976133541690453
19,3000,0.3,p037,0.244,182344.84588790752,-38620.01679706838,220964.8626849759,220964.8626849759,-38620.018607310936,8.192445166699258e-09,0.9999999918075548,0.24490127423056307,1,0.3438279720417585,0.09892669781119544
