frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p042,0.304,-38210.87376347519,-18199.015444424876,-20011.858319050312,-20011.858319050312,-38210.89375160393,0.9999990011877711,9.988122289805723e-07,-0.05085799977740099,0,0.13175422935907016,0.18261222913647115
1,1200,0.12,p042,0.304,-38108.17753144659,-9567.651069273095,-28540.526462173497,-28540.526462173497,-38108.19154659814,0.999999508939059,4.910609410213596e-07,-0.04068067896301597,0,0.14129481158325946,0.18197549054627543
2,1300,0.13,p042,0.304,-38080.9323657316,-12225.281082937348,-25855.65128279425,-25855.65128279425,-38080.94783622802,0.9999994016597091,5.983402908693591e-07,-0.04681471138091489,0,0.13887741029931228,0.18569212168022717
3,1400,0.14,p042,0.304,-38029.02918594077,-21612.615430160746,-16416.413755780028,-16416.413755780028,-38029.05355176222,0.9999985157690665,1.4842309334905934e-06,-0.04383308609125544,0,0.13560939491852791,0.17944248100978336
4,1500,0.15,p042,0.304,-38133.12167061496,-20334.854910051363,-17798.266760563594,-17798.266760563594,-38133.14414468506,0.9999987372920268,1.2627079731819535e-06,-0.05065782827079271,0,0.1329364282534702,0.18359425652426292
5,1600,0.16,p042,0.304,-38010.70705550801,-15333.094938777824,-22677.61211673019,-22677.61211673019,-38010.724694035685,0.9999992222064588,7.777935412400794e-07,-0.0395029321647177,0,0.143525318443814,0.1830282506085317
6,1700,0.17,p042,0.304,-38090.030100885255,-16092.215674665349,-21997.814426219906,-21997.814426219906,-38090.04828449484,0.999999173391539,8.266084610686342e-07,-0.04793392838746405,0,0.1371656193183056,0.18509954770576964
7,1800,0.18,p042,0.304,-38113.48097636888,-15739.156152506184,-22374.3248238627,-22374.3248238627,-38113.49885398903,0.9999992009773826,7.99022617459233e-07,-0.045467947955714016,0,0.13331763214932105,0.17878558010503506
8,1900,0.19,p042,0.304,-38104.88626868348,-8474.089470329782,-29630.796798353695,-29630.796798353695,-38104.89976814556,0.9999995444115164,4.555884835499846e-07,-0.04959823727726126,0,0.13353710751471823,0.1831353447919795
9,2000,0.2,p042,0.304,-38075.72153813418,-11494.236802454601,-26581.48473567958,-26581.48473567958,-38075.73658619405,0.9999994338900564,5.661099436449213e-07,-0.04051791128867269,0,0.1419656531339948,0.1824835644226675
10,2100,0.21,p042,0.304,-38078.477689120366,-22344.044636952574,-15734.433052167791,-15734.433052167791,-38078.503111031176,0.9999983843187371,1.615681262889801e-06,-0.046240664408253224,0,0.13868002037666083,0.18492068478491405
11,2200,0.22,p042,0.304,-38081.17304330674,-19928.36167611828,-18152.811367188464,-18152.811367188464,-38081.19507843432,0.9999987861343546,1.2138656454441232e-06,-0.04572268314318928,0,0.13365637610070827,0.17937905924389755
12,2300,0.23,p042,0.304,-38115.808420244604,-8101.852124033263,-30013.95629621134,-30013.95629621134,-38115.8217473721,0.9999995559693786,4.4403062143816285e-07,-0.04923478826323943,0,0.13296138903941643,0.18219617730265586
13,2400,0.24,p042,0.304,-38021.15619298347,-15342.190247195918,-22678.965945787553,-22678.965945787553,-38021.17383045821,0.999999222299317,7.777006829079447e-07,-0.040931952676636796,0,0.1412985549325048,0.18223050760914158
14,2500,0.25,p042,0.304,-38038.953203831916,-18530.54427972113,-19508.408924110787,-19508.408924110787,-38038.97370778901,0.9999989489704633,1.0510295367915923e-06,-0.04634368232220307,0,0.13724470830973884,0.1835883906319419
15,2600,0.26,p042,0.304,-38029.05795640999,-14632.68200573785,-23396.37595067214,-23396.37595067214,-38029.07505306242,0.9999992692617234,7.307382766108539e-07,-0.046038645069102074,0,0.1335217192370809,0.17956036430618297
16,2700,0.27,p042,0.304,-38022.69913634879,-11513.168183947157,-26509.530952401634,-26509.530952401634,-38022.71422525297,0.9999994308127508,5.691872492219474e-07,-0.04673148379696804,0,0.1364910495358573,0.18322253333282534
17,2800,0.28,p042,0.304,-37972.81415662798,-20216.002707152336,-17756.811449475645,-17756.811449475645,-37972.83668316624,0.9999987313892941,1.2686107059289853e-06,-0.041280371007440975,0,0.1415923346368854,0.18287270564432637
18,2900,0.29,p042,0.304,-37966.57966789408,-20981.004896780883,-16985.5747711132,-16985.5747711132,-37966.60321725587,0.9999986135708209,1.3864291791287897e-06,-0.04759611064026151,0,0.1343786268205625,0.18197473746082402
19,3000,0.3,p042,0.304,-37928.77212501367,-8928.241786182363,-29000.530338831304,-29000.530338831304,-37928.78591785832,0.9999995243938173,4.7560618271491606e-07,-0.04575831252999735,0,0.1346586782983736,0.18041699082837095
