frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p019,0.028,-38672.48993753761,-14841.902407181304,-23830.587530356308,-23830.587530356308,-38672.48993753761,1.0,0.0,-0.0822777907429157,0,0.11449907415514897,0.19677686489806467
1,1200,0.12,p019,0.028,-38597.5809824765,-7185.192467483401,-31412.3885149931,-31412.3885149931,-38597.5809824765,1.0,0.0,-0.08345263028769244,0,0.11839499868926061,0.20184762897695305
2,1300,0.13,p019,0.028,-38544.259315110074,-13312.93993947882,-25231.319375631254,-25231.319375631254,-38544.259315110074,1.0,0.0,-0.08279802699243781,0,0.11804175774667307,0.20083978473911088
3,1400,0.14,p019,0.028,-38545.614107098285,-23559.240665047953,-14986.373442050332,-14986.373442050332,-38545.614107098285,1.0,0.0,-0.08274073112383654,0,0.11663344536960407,0.1993741764934406
4,1500,0.15,p019,0.028,-38497.94463545576,-21593.975448453653,-16903.969187002105,-16903.969187002105,-38497.94463545576,1.0,0.0,-0.08169560569240916,0,0.11688682716681262,0.19858243285922178
5,1600,0.16,p019,0.028,-38449.64432040675,-8124.5321063179,-30325.112214088847,-30325.112214088847,-38449.64432040675,1.0,0.0,-0.08240723123283696,0,0.11850266827422458,0.20090989950706153
6,1700,0.17,p019,0.028,-38547.50694691867,-5695.4720665829955,-32852.034880335676,-32852.034880335676,-38547.50694691867,1.0,0.0,-0.08220186960722647,0,0.1173709637771286,0.19957283338435508
7,1800,0.18,p019,0.028,-38389.3807207293,-15162.778507858486,-23226.602212870814,-23226.602212870814,-38389.3807207293,1.0,0.0,-0.08234326734755139,0,0.11496375293849816,0.19730702028604954
8,1900,0.19,p019,0.028,-38393.823981247,-19246.80450193386,-19147.019479313138,-19147.019479313138,-38393.823981247,1.0,0.0,-0.0839773342197798,0,0.11775379874537518,0.201731132965155
9,2000,0.2,p019,0.028,-38378.87538656904,-13716.085462877323,-24662.789923691715,-24662.789923691715,-38378.87538656904,1.0,0.0,-0.08294130977471907,0,0.11876109959849494,0.20170240937321401
10,2100,0.21,p019,0.028,-38355.86968256743,-14674.243863366428,-23681.625819201,-23681.625819201,-38355.86968256743,1.0,0.0,-0.08224658120513134,0,0.11838438664527653,0.20063096785040788
11,2200,0.22,p019,0.028,-38362.676742626354,-20179.482972565223,-18183.19377006113,-18183.19377006113,-38362.676742626354,1.0,0.0,-0.08107808384515237,0,0.11493738295819982,0.1960154668033522
12,2300,0.23,p019,0.028,-38433.09034915216,-15203.497487714543,-23229.592861437617,-23229.592861437617,-38433.09034915216,1.0,0.0,-0.08136337735775913,0,0.11737132509509011,0.19873470245284924
13,2400,0.24,p019,0.028,-38388.344772076496,-6919.266114157013,-31469.078657919483,-31469.078657919483,-38388.344772076496,1.0,0.0,-0.08399303417993331,0,0.1186346390994342,0.2026276732793675
14,2500,0.25,p019,0.028,-38415.66638153445,-14732.525149452355,-23683.141232082096,-23683.141232082096,-38415.66638153445,1.0,0.0,-0.08088586461762128,0,0.11707299125629812,0.1979588558739194
15,2600,0.26,p019,0.028,-38369.04918714572,-17234.801644171646,-21134.247542974073,-21134.247542974073,-38369.04918714572,1.0,0.0,-0.08112834090306348,0,0.11623385249253776,0.19736219339560124
16,2700,0.27,p019,0.028,-38341.43646120824,-9917.676395000308,-28423.760066207935,-28423.760066207935,-38341.43646120824,1.0,0.0,-0.08230832322643203,0,0.12014114330915082,0.20244946653558285
17,2800,0.28,p019,0.028,-38334.18468472274,-19297.34952464886,-19036.835160073882,-19036.835160073882,-38334.18468472274,1.0,0.0,-0.0802937795427169,0,0.11763650179203759,0.1979302813347545
18,2900,0.29,p019,0.028,-38317.33414172038,-22610.717097812594,-15706.617043907783,-15706.617043907783,-38317.33414172038,1.0,0.0,-0.0836533875505998,0,0.11722663464563245,0.20088002219623224
19,3000,0.3,p019,0.028,-38284.79121235802,-3630.1326258016925,-34654.658586556325,-34654.658586556325,-38284.79121235802,1.0,0.0,-0.0831243994312803,0,0.11475072493019628,0.19787512436147658
