frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,1100,0.11,p005,-0.16,-37970.208025719534,-10596.712421808013,-27373.49560391152,-27373.49560391152,-37970.22263838692,0.9999994661751646,5.338248353914388e-07,-0.15878498918021572,0,0.10678851675310665,0.26557350593332235
1,1200,0.12,p005,-0.16,-37834.16267283526,-4755.045006291795,-33079.11766654346,-33079.11766654346,-37834.174765051794,0.9999996344458815,3.655541185310085e-07,-0.15515925913164585,0,0.10794601010756028,0.26310526923920613
2,1300,0.13,p005,-0.16,-37860.71783869507,-9400.391976905375,-28460.325861789694,-28460.325861789694,-37860.73189334098,0.9999995061675647,4.938324352776746e-07,-0.15096689430259255,0,0.10995280557152784,0.2609196998741204
3,1400,0.14,p005,-0.16,-37883.19814726245,-8342.802684909577,-29540.39546235287,-29540.39546235287,-37883.211688036376,0.9999995416188138,4.5838118623020563e-07,-0.15088858616748993,0,0.11217012599767148,0.2630587121651614
4,1500,0.15,p005,-0.16,-37766.372333384235,-5246.798592686391,-32519.573740697844,-32519.573740697844,-37766.38463366381,0.999999621757949,3.782420510134443e-07,-0.14709401642364356,0,0.11239203219543105,0.2594860486190746
5,1600,0.16,p005,-0.16,-37815.16837062992,-6184.846175484679,-31630.322195145243,-31630.322195145243,-37815.181016717994,0.9999996001913014,3.998086986478633e-07,-0.14652113249734544,0,0.11203777202877173,0.2585589045261172
6,1700,0.17,p005,-0.16,-37824.34568411697,-8239.779901406117,-29584.56578271085,-29584.56578271085,-37824.35920467428,0.9999995429865338,4.57013466181877e-07,-0.1598629896743719,0,0.11222721201376935,0.27209020168814124
7,1800,0.18,p005,-0.16,-37741.06188577067,-8854.454629074637,-28886.607256696036,-28886.607256696036,-37741.07573301153,0.9999995206350314,4.793649686640755e-07,-0.15201595589505906,0,0.11088689754850016,0.26290285344355924
8,1900,0.19,p005,-0.16,-37788.14259418685,-2544.43045688406,-35243.71213730279,-35243.71213730279,-37788.15394372545,0.9999996779700379,3.2202996214092394e-07,-0.1624868804946847,0,0.10957190118119794,0.27205878167588265
9,2000,0.2,p005,-0.16,-37816.17085662045,-6084.820069075882,-31731.350787544565,-31731.350787544565,-37816.183462445006,0.9999996027331257,3.9726687428576213e-07,-0.1551534054543081,0,0.10808342573201007,0.2632368311863182
10,2100,0.21,p005,-0.16,-37807.36052157337,-10892.025647051021,-26915.33487452235,-26915.33487452235,-37807.3753829816,0.9999994478466687,5.521533313346261e-07,-0.16154049076883187,0,0.10729207323995275,0.26883256400878464
11,2200,0.22,p005,-0.16,-37800.2440521144,-3672.797545936337,-34127.446506178065,-34127.446506178065,-37800.25577288181,0.9999996565591466,3.434408534230826e-07,-0.15908062087127023,0,0.10671155199284676,0.265792172864117
12,2300,0.23,p005,-0.16,-37790.114924445545,-2703.4597811850545,-35086.65514326049,-35086.65514326049,-37790.12632478759,0.9999996750806084,3.249193915588755e-07,-0.1673133476715964,0,0.10779928566354129,0.2751126333351377
13,2400,0.24,p005,-0.16,-37705.969019374665,-11551.16036370382,-26154.808655670844,-26154.808655670844,-37705.98431292054,0.9999994152689782,5.847310218798363e-07,-0.15730634447118622,0,0.1089586456516379,0.2662649901228241
14,2500,0.25,p005,-0.16,-37657.18088490868,-10390.00873503866,-27267.17214987002,-27267.17214987002,-37657.19555455548,0.9999994620039461,5.37996053984191e-07,-0.15829349059391912,0,0.10904023793713198,0.2673337285310511
15,2600,0.26,p005,-0.16,-37620.95689259589,-3617.092752794124,-34003.864139801764,-34003.864139801764,-37620.96865596078,0.9999996540582357,3.459417642903695e-07,-0.15475097116705877,0,0.1105086326057119,0.2652596037727707
16,2700,0.27,p005,-0.16,-37639.30061357355,-7336.899909407686,-30302.400704165862,-30302.400704165862,-37639.31381384206,0.999999564382468,4.356175320463507e-07,-0.15076425240006686,0,0.1110457018619694,0.26180995426203624
17,2800,0.28,p005,-0.16,-37641.132336595736,-12066.355694755854,-25574.776641839882,-25574.776641839882,-37641.14797699647,0.9999993884450361,6.115549638918694e-07,-0.15410397348828955,0,0.11158906889265993,0.2656930423809495
18,2900,0.29,p005,-0.16,-37615.545353959984,-11058.58329784128,-26556.962056118704,-26556.962056118704,-37615.5604159152,0.9999994328440844,5.671559155651096e-07,-0.14712145398477705,0,0.11045286643353609,0.25757432041831313
19,3000,0.3,p005,-0.16,-37683.545676467504,-8080.622383667447,-29602.923292800057,-29602.923292800057,-37683.559188640385,0.9999995435531682,4.5644683177581413e-07,-0.16104052822349135,0,0.10838207026600179,0.2694225984894931
