frame,step,time_ps,window_id,rc_center_nm,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,p011,-0.112,-38413.94904694546,18002.225992247608,-56416.17503919307,-56416.17503919307,-38413.95613710975,0.9999998743239416,1.2567605844893137e-07,-0.13207239455133868,0,0.1047093604351638,0.23678175498650247
1,2200,0.22,p011,-0.112,-38380.063268674916,25569.14031604948,-63949.2035847244,-63949.2035847244,-38380.06952363883,0.9999999021885756,9.78114244043482e-08,-0.13482088296131514,0,0.10449763815855237,0.2393185211198675
2,2300,0.23,p011,-0.112,-38311.38138830688,24740.597161075246,-63051.978549382125,-63051.978549382125,-38311.387732278454,0.9999998993850717,1.0061492827784235e-07,-0.1356857483182422,0,0.10713649406449387,0.24282224238273606
3,2400,0.24,p011,-0.112,-38309.68175401006,17900.960267443355,-56210.642021453416,-56210.642021453416,-38309.68887009938,0.9999998734031981,1.2659680198590095e-07,-0.13381597797211106,0,0.10991256274928465,0.24372854072139571
4,2500,0.25,p011,-0.112,-38311.329553659336,15302.220716833282,-53613.55027049262,-53613.55027049262,-38311.337014458746,0.9999998608411997,1.3915880026083016e-07,-0.13313548720375898,0,0.11340569541514167,0.24654118261890065
5,2600,0.26,p011,-0.112,-38226.97765365921,24232.594155370403,-62459.571809029614,-62459.571809029614,-38226.98405780108,0.9999998974674278,1.025325722103787e-07,-0.1302317122169508,0,0.11487301728907082,0.2451047295060216
6,2700,0.27,p011,-0.112,-38245.14877668282,35051.81342241136,-73296.96219909418,-73296.96219909418,-38245.1542339345,0.9999999255460157,7.44539842556513e-08,-0.12441774645629113,0,0.1144661932369501,0.23888393969324123
7,2800,0.28,p011,-0.112,-38181.3442843559,15578.21029343098,-53759.55457778688,-53759.55457778688,-38181.35172489271,0.9999998615960491,1.3840395085562562e-07,-0.12285106308336648,0,0.11375862901051147,0.23660969209387794
8,2900,0.29,p011,-0.112,-38146.87313858446,7791.893979240354,-45938.76711782481,-45938.76711782481,-38146.88184582563,0.9999998104599142,1.8954008590421623e-07,-0.1257168091013522,0,0.11270907700117085,0.23842588610252302
9,3000,0.3,p011,-0.112,-38108.27395137286,21003.199465042708,-59111.47341641557,-59111.47341641557,-38108.2807182479,0.9999998855235185,1.1447648151641232e-07,-0.12973090738642987,0,0.11228880501555036,0.24201971240198022
