h12_kj_mol,rc,mean_evb_energy_kj_mol,counts
0.0,-0.18154244005108014,-37269.68611608773,1
0.0,-0.18009120999581024,-37952.94622732133,2
0.0,-0.17863997994054037,-38094.16304409807,2
0.0,-0.1771887498852705,nan,0
0.0,-0.1757375198300006,-38824.59901917803,1
0.0,-0.17428628977473073,-36617.12882894381,1
0.0,-0.17283505971946084,-38007.35541871716,2
0.0,-0.17138382966419097,-37521.34342520941,2
0.0,-0.1699325996089211,-38039.20671334238,4
0.0,-0.1684813695536512,-38564.76069409604,1
0.0,-0.16703013949838133,-36407.644231977145,2
0.0,-0.16557890944311143,-37650.750167799866,4
0.0,-0.16412767938784156,-37691.9470878144,5
0.0,-0.1626764493325717,-37614.7144032182,3
0.0,-0.1612252192773018,-37871.941901975544,6
0.0,-0.15977398922203193,-37566.10928023545,5
0.0,-0.15832275916676203,-38785.916390666796,4
0.0,-0.15687152911149216,-37332.66044310656,6
0.0,-0.1554202990562223,-38469.47834572448,6
0.0,-0.1539690690009524,-37793.91864212975,3
0.0,-0.15251783894568252,-37070.500503656964,4
0.0,-0.15106660889041262,-37416.92798950936,6
0.0,-0.14961537883514275,-37984.02872064125,3
0.0,-0.14816414877987288,-37057.785519269346,3
0.0,-0.146712918724603,-37431.806451657816,2
0.0,-0.14526168866933312,-37611.12438026244,5
0.0,-0.14381045861406322,-37608.697618960054,4
0.0,-0.14235922855879335,-37405.93430749842,6
0.0,-0.14090799850352348,-37380.91137390976,1
0.0,-0.13945676844825358,-36148.329923344034,1
0.0,-0.1380055383929837,nan,0
0.0,-0.13655430833771381,-37653.42115302202,1
0.0,-0.13510307828244394,-37460.67327110928,1
0.0,-0.13365184822717407,nan,0
0.0,-0.13220061817190418,nan,0
0.0,-0.1307493881166343,nan,0
0.0,-0.1292981580613644,nan,0
0.0,-0.12784692800609454,-37116.26014791289,1
0.0,-0.12639569795082467,nan,0
0.0,-0.12494446789555477,-36908.70057138572,2
5.0,-0.18154244005108014,-37269.707334197985,1
5.0,-0.18009120999581024,-37952.95771475964,2
5.0,-0.17863997994054037,-38094.17266614839,2
5.0,-0.1771887498852705,nan,0
5.0,-0.1757375198300006,-38824.599272054984,1
5.0,-0.17428628977473073,-36617.14806469679,1
5.0,-0.17283505971946084,-38007.35750878803,2
5.0,-0.17138382966419097,-37521.355807053216,2
5.0,-0.1699325996089211,-38039.210373448455,4
5.0,-0.1684813695536512,-38564.76075241185,1
5.0,-0.16703013949838133,-36407.737839099354,2
5.0,-0.16557890944311143,-37650.770167393624,4
5.0,-0.16412767938784156,-37691.99683117933,5
5.0,-0.1626764493325717,-37614.73545341162,3
5.0,-0.1612252192773018,-37871.96115670144,6
5.0,-0.15977398922203193,-37566.12900546424,5
5.0,-0.15832275916676203,-38785.92133151489,4
5.0,-0.15687152911149216,-37332.68127897819,6
5.0,-0.1554202990562223,-38469.48552098647,6
5.0,-0.1539690690009524,-37793.934760163924,3
5.0,-0.15251783894568252,-37070.56814961187,4
5.0,-0.15106660889041262,-37416.99044192269,6
5.0,-0.14961537883514275,-37984.07724387192,3
5.0,-0.14816414877987288,-37057.81409980893,3
5.0,-0.146712918724603,-37431.841136031406,2
5.0,-0.14526168866933312,-37611.14481473417,5
5.0,-0.14381045861406322,-37608.70653724187,4
5.0,-0.14235922855879335,-37405.96828022981,6
5.0,-0.14090799850352348,-37380.91228441578,1
5.0,-0.13945676844825358,-36148.56945307324,1
5.0,-0.1380055383929837,nan,0
5.0,-0.13655430833771381,-37653.44383011264,1
5.0,-0.13510307828244394,-37460.67418085467,1
5.0,-0.13365184822717407,nan,0
5.0,-0.13220061817190418,nan,0
5.0,-0.1307493881166343,nan,0
5.0,-0.1292981580613644,nan,0
5.0,-0.12784692800609454,-37116.27111315082,1
5.0,-0.12639569795082467,nan,0
