frame,step,time_ps,window_id,lambda,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,0,0.0,w002,0.5,-37844.19224969782,-37597.25750927962,-246.93474041820446,-246.93474041820446,-37844.19224969782,1.0,0.0,0.11298299480769741,0.26191884741479454
1,0,0.0,w002,0.5,-37696.4218430648,-37448.473731770435,-247.94811129436857,-247.94811129436857,-37696.4218430648,1.0,0.0,0.10608543088672029,0.25650859092191985
2,0,0.0,w002,0.5,-37741.20783273501,-37227.48753632023,-513.72029641478,-513.72029641478,-37741.207832735,1.0,0.0,0.11263649309833754,0.25883043119070887
3,0,0.0,w002,0.5,-37707.05199960809,-37008.067356890584,-698.9846427175071,-698.9846427175071,-37707.05199960809,1.0,0.0,0.1070030556840432,0.25805339041515346
4,0,0.0,w002,0.5,-37638.28947099468,-37023.49805250945,-614.791418485227,-614.791418485227,-37638.28947099468,1.0,0.0,0.11097648200197333,0.25963059639920266
5,0,0.0,w002,0.5,-37610.116460305224,-37128.60006808348,-481.5163922217471,-481.5163922217471,-37610.116460305224,1.0,0.0,0.10937934779988066,0.26123188014363496
6,0,0.0,w002,0.5,-37613.1415259624,-37172.33101369681,-440.81051226559066,-440.81051226559066,-37613.141525962405,1.0,0.0,0.10842904116440734,0.26751616354330815
7,0,0.0,w002,0.5,-37626.118979083614,-37107.14590249469,-518.9730765889253,-518.9730765889253,-37626.118979083614,1.0,0.0,0.11192438939304988,0.2726056799927732
8,0,0.0,w002,0.5,-37582.15663441236,-37032.336893603075,-549.8197408092819,-549.8197408092819,-37582.15663441236,1.0,0.0,0.10603720468821386,0.26848979376228516
9,0,0.0,w002,0.5,-37385.60308248563,-37010.117341773264,-375.4857407123636,-375.4857407123636,-37385.60308248563,1.0,0.0,0.11369377024266643,0.26499725633825244
10,0,0.0,w002,0.5,-37232.14945403231,-36942.62891646478,-289.52053756752866,-289.52053756752866,-37232.14945403231,1.0,0.0,0.10523062745942396,0.25683808231748717
11,0,0.0,w002,0.5,-37203.4610814247,-36820.98517520163,-382.475906223066,-382.475906223066,-37203.4610814247,1.0,0.0,0.11400141818461408,0.2596836707509735
12,0,0.0,w002,0.5,-37307.529723627464,-36709.04701099785,-598.482712629615,-598.482712629615,-37307.529723627464,1.0,0.0,0.10508041537358334,0.2560749427177972
13,0,0.0,w002,0.5,-37317.27153614948,-36551.85732770958,-765.4142084398991,-765.4142084398991,-37317.27153614948,1.0,0.0,0.11289404094017062,0.25690381210172414
14,0,0.0,w002,0.5,-37248.56914572818,-36516.35693824985,-732.2122074783256,-732.2122074783256,-37248.56914572818,1.0,0.0,0.1079170303342316,0.25353765660593075
15,0,0.0,w002,0.5,-37172.81183423784,-36598.164295960385,-574.6475382774515,-574.6475382774515,-37172.81183423784,1.0,0.0,0.11020402368958246,0.2618272236241473
16,0,0.0,w002,0.5,-37052.378668435944,-36713.10816178807,-339.27050664787384,-339.27050664787384,-37052.37866843595,1.0,0.0,0.10974443738566668,0.2733608312305413
17,0,0.0,w002,0.5,-36959.26829039269,-36703.71573505377,-255.5525553389234,-255.5525553389234,-36959.26829039269,1.0,0.0,0.10818652872439474,0.27451084520626867
18,0,0.0,w002,0.5,-36995.88652085527,-36546.23297876419,-449.65354209108045,-449.65354209108045,-36995.88652085527,1.0,0.0,0.11187507513861542,0.2689708100352202
19,0,0.0,w002,0.5,-37011.809376890684,-36422.322272504025,-589.4871043866588,-589.4871043866588,-37011.809376890684,1.0,0.0,0.1069746695395172,0.26286825722574914
