gap_kj_mol,free_energy_kj_mol,probability,counts
-49750.0,,0.0,0
-49250.0,,0.0,0
-48750.0,,0.0,0
-48250.0,,0.0,0
-47750.0,,0.0,0
-47250.0,,0.0,0
-46750.0,,0.0,0
-46250.0,,0.0,0
-45750.0,,0.0,0
-45250.0,,0.0,0
-44750.0,,0.0,0
-44250.0,,0.0,0
-43750.0,,0.0,0
-43250.0,,0.0,0
-42750.0,,0.0,0
-42250.0,,0.0,0
-41750.0,,0.0,0
-41250.0,,0.0,0
-40750.0,,0.0,0
-40250.0,,0.0,0
-39750.0,,0.0,0
-39250.0,,0.0,0
-38750.0,,0.0,0
-38250.0,,0.0,0
-37750.0,3.1248152612308333,0.0125,2
-37250.0,4.853759157692163,0.00625,1
-36750.0,4.853759157692163,0.00625,1
-36250.0,4.853759157692163,0.00625,1
-35750.0,0.8392757500145782,0.03125,5
-35250.0,3.1248152612308333,0.0125,2
-34750.0,1.3958713647695058,0.025,4
-34250.0,1.3958713647695058,0.025,4
-33750.0,0.8392757500145782,0.03125,5
-33250.0,0.3845040194889089,0.0375,6
-32750.0,1.3958713647695058,0.025,4
-32250.0,0.0,0.04375,7
-31750.0,0.8392757500145782,0.03125,5
-31250.0,0.3845040194889089,0.0375,6
-30750.0,0.8392757500145782,0.03125,5
-30250.0,1.3958713647695058,0.025,4
-29750.0,0.3845040194889089,0.0375,6
-29250.0,2.1134479159502364,0.01875,3
-28750.0,0.3845040194889089,0.0375,6
-28250.0,0.8392757500145782,0.03125,5
-27750.0,0.8392757500145782,0.03125,5
-27250.0,0.8392757500145782,0.03125,5
-26750.0,0.8392757500145782,0.03125,5
-26250.0,2.1134479159502364,0.01875,3
-25750.0,2.1134479159502364,0.01875,3
-25250.0,1.3958713647695058,0.025,4
-24750.0,2.1134479159502364,0.01875,3
-24250.0,0.3845040194889089,0.0375,6
-23750.0,2.1134479159502364,0.01875,3
-23250.0,0.0,0.04375,7
-22750.0,0.0,0.04375,7
-22250.0,0.8392757500145782,0.03125,5
-21750.0,0.8392757500145782,0.03125,5
-21250.0,0.0,0.04375,7
-20750.0,0.3845040194889089,0.0375,6
-20250.0,4.853759157692163,0.00625,1
-19750.0,2.1134479159502364,0.01875,3
-19250.0,,0.0,0
-18750.0,,0.0,0
-18250.0,,0.0,0
-17750.0,,0.0,0
-17250.0,,0.0,0
-16750.0,,0.0,0
-16250.0,,0.0,0
-15750.0,,0.0,0
-15250.0,,0.0,0
-14750.0,,0.0,0
-14250.0,,0.0,0
-13750.0,,0.0,0
-13250.0,,0.0,0
-12750.0,,0.0,0
-12250.0,,0.0,0
-11750.0,,0.0,0
-11250.0,,0.0,0
-10750.0,,0.0,0
-10250.0,,0.0,0
-9750.0,,0.0,0
-9250.0,,0.0,0
-8750.0,,0.0,0
-8250.0,,0.0,0
-7750.0,,0.0,0
-7250.0,,0.0,0
-6750.0,,0.0,0
-6250.0,,0.0,0
-5750.0,,0.0,0
-5250.0,,0.0,0
-4750.0,,0.0,0
-4250.0,,0.0,0
-3750.0,,0.0,0
-3250.0,,0.0,0
-2750.0,,0.0,0
-2250.0,,0.0,0
-1750.0,,0.0,0
-1250.0,,0.0,0
-750.0,,0.0,0
-250.0,,0.0,0
250.0,,0.0,0
750.0,,0.0,0
1250.0,,0.0,0
1750.0,,0.0,0
2250.0,,0.0,0
2750.0,,0.0,0
3250.0,,0.0,0
3750.0,,0.0,0
4250.0,,0.0,0
4750.0,,0.0,0
5250.0,,0.0,0
5750.0,,0.0,0
6250.0,,0.0,0
6750.0,,0.0,0
7250.0,,0.0,0
7750.0,,0.0,0
8250.0,,0.0,0
8750.0,,0.0,0
9250.0,,0.0,0
9750.0,,0.0,0
10250.0,,0.0,0
10750.0,,0.0,0
11250.0,,0.0,0
11750.0,,0.0,0
12250.0,,0.0,0
12750.0,,0.0,0
13250.0,,0.0,0
13750.0,,0.0,0
14250.0,,0.0,0
14750.0,,0.0,0
15250.0,,0.0,0
15750.0,,0.0,0
16250.0,,0.0,0
16750.0,,0.0,0
17250.0,,0.0,0
17750.0,,0.0,0
18250.0,,0.0,0
18750.0,,0.0,0
19250.0,,0.0,0
19750.0,,0.0,0
20250.0,,0.0,0
20750.0,,0.0,0
21250.0,,0.0,0
21750.0,,0.0,0
22250.0,,0.0,0
22750.0,,0.0,0
23250.0,,0.0,0
23750.0,,0.0,0
24250.0,,0.0,0
24750.0,,0.0,0
25250.0,,0.0,0
25750.0,,0.0,0
26250.0,,0.0,0
26750.0,,0.0,0
27250.0,,0.0,0
27750.0,,0.0,0
28250.0,,0.0,0
28750.0,,0.0,0
29250.0,,0.0,0
29750.0,,0.0,0
30250.0,,0.0,0
30750.0,,0.0,0
31250.0,,0.0,0
31750.0,,0.0,0
32250.0,,0.0,0
32750.0,,0.0,0
33250.0,,0.0,0
33750.0,,0.0,0
34250.0,,0.0,0
34750.0,,0.0,0
35250.0,,0.0,0
35750.0,,0.0,0
36250.0,,0.0,0
36750.0,,0.0,0
37250.0,,0.0,0
37750.0,,0.0,0
38250.0,,0.0,0
38750.0,,0.0,0
39250.0,,0.0,0
39750.0,,0.0,0
40250.0,,0.0,0
40750.0,,0.0,0
41250.0,,0.0,0
41750.0,,0.0,0
42250.0,,0.0,0
42750.0,,0.0,0
43250.0,,0.0,0
43750.0,,0.0,0
44250.0,,0.0,0
44750.0,,0.0,0
45250.0,,0.0,0
45750.0,,0.0,0
46250.0,,0.0,0
46750.0,,0.0,0
47250.0,,0.0,0
47750.0,,0.0,0
48250.0,,0.0,0
48750.0,,0.0,0
49250.0,,0.0,0
49750.0,,0.0,0
