frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,0,0.0,u001,-28500.0,-40605.415257871275,-17739.966872063294,-22865.44838580798,-22865.44838580798,-40605.432751501285,0.9999992349328584,7.65067141639264e-07,0.11050645017407018,0.268333012782907
1,0,0.0,u001,-28500.0,-40262.51187338969,-17367.9173871866,-22894.59448620309,-22894.59448620309,-40262.52934474936,0.9999992368795606,7.63120439395415e-07,0.11183056017427884,0.26968330227174053
2,0,0.0,u001,-28500.0,-39931.932799698276,-16785.75217727336,-23146.180622424916,-23146.180622424916,-39931.950081154246,0.9999992533787562,7.466212438300701e-07,0.11247695758255949,0.2705530808091434
3,0,0.0,u001,-28500.0,-39635.30589146725,-16000.966184682293,-23634.33970678496,-23634.33970678496,-39635.322815981264,0.9999992839025764,7.160974236364304e-07,0.11214505485835569,0.2708977666666229
4,0,0.0,u001,-28500.0,-39379.288755634596,-14978.546081432138,-24400.742674202458,-24400.742674202458,-39379.30514856725,0.9999993281798492,6.718201508437716e-07,0.11093334334665794,0.27068641158227785
5,0,0.0,u001,-28500.0,-39163.555659704354,-13728.895975032046,-25434.659684672308,-25434.659684672308,-39163.57138626636,0.9999993816885009,6.183114991120675e-07,0.1093977099306656,0.27024917880318794
6,0,0.0,u001,-28500.0,-38988.454264697735,-12286.55118772334,-26701.903076974395,-26701.903076974395,-38988.46924489501,0.999999438984539,5.610154609203555e-07,0.1080469000336913,0.2698332356689072
7,0,0.0,u001,-28500.0,-38860.007756232124,-10689.587451112744,-28170.42030511938,-28170.42030511938,-38860.02195551613,0.9999994959510885,5.040489114427338e-07,0.10723715822708217,0.2694171136997177
8,0,0.0,u001,-28500.0,-38785.16872238507,-8937.567026324481,-29847.601696060585,-29847.601696060585,-38785.1821237908,0.9999995510060127,4.4899398726760964e-07,0.10717800931131319,0.2692138725627377
9,0,0.0,u001,-28500.0,-38762.86771203941,-7111.156932554178,-31651.710779485235,-31651.710779485235,-38762.880349581916,0.999999600731458,3.992685419507147e-07,0.10798071152164254,0.26931081854147126
10,0,0.0,u001,-28500.0,-38779.965658203524,-5354.425373456503,-33425.540284747025,-33425.540284747025,-38779.977625096304,0.999999641983821,3.580161790361913e-07,0.10935916567615976,0.2694715816531212
11,0,0.0,u001,-28500.0,-38820.485150204084,-3934.412383223963,-34886.07276698012,-34886.07276698012,-38820.49661609396,0.9999996713335315,3.2866646854090575e-07,0.11083150724793271,0.2696222160753033
12,0,0.0,u001,-28500.0,-38874.481197661655,-3038.1702929428047,-35836.31090471885,-35836.31090471885,-38874.49235952138,0.9999996885323157,3.114676843107844e-07,0.11194392581736451,0.269676629821442
13,0,0.0,u001,-28500.0,-38939.25588489975,-2849.0405151037394,-36090.21536979601,-36090.21536979601,-38939.26696823281,0.999999692899415,3.071005850174835e-07,0.11233456737979228,0.2694975047617633
14,0,0.0,u001,-28500.0,-39013.66180612203,-3424.466116401194,-35589.19568972084,-35589.19568972084,-39013.6730454846,0.9999996841919226,3.1580807735576144e-07,0.11175869551279626,0.2689226822650182
15,0,0.0,u001,-28500.0,-39086.73311627478,-4671.222586214519,-34415.51053006026,-34415.51053006026,-39086.74473893731,0.999999662284403,3.377155970429868e-07,0.11045746491274314,0.267885999220738
16,0,0.0,u001,-28500.0,-39144.02789229905,-6315.812378797783,-32828.215513501265,-32828.215513501265,-39144.04007693489,0.999999628836761,3.711632390879238e-07,0.10879830638527943,0.266522544241401
17,0,0.0,u001,-28500.0,-39177.050721941196,-8130.078425788706,-31046.97229615249,-31046.97229615249,-39177.063605639814,0.9999995850259471,4.149740528980317e-07,0.10736278653838906,0.2650515140629343
18,0,0.0,u001,-28500.0,-39189.374875828646,-9922.772091695097,-29266.60278413355,-29266.60278413355,-39189.388543278066,0.9999995330022841,4.6699771594216344e-07,0.10655779771952134,0.2637312635924016
19,0,0.0,u001,-28500.0,-39190.06811726753,-11510.488056615744,-27679.580060651788,-27679.580060651788,-39190.08256834628,0.9999994779160801,5.220839198738503e-07,0.10670015929812666,0.2626296084363166
