frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,70,0.007,u000,-27500.0,-39867.86894244919,-17749.552045613265,-22118.316896835924,-22118.316896835924,-39867.88702699309,0.9999991823738482,8.176261517833794e-07,0.11124291559512116,0.2675625450094062
1,90,0.009000000000000001,u000,-27500.0,-39303.33694421465,-16475.186115634628,-22828.150828580023,-22828.150828580023,-39303.35446642641,0.9999992324308264,7.675691734987389e-07,0.11179065505211852,0.2691846266561102
2,110,0.011,u000,-27500.0,-38873.74825687104,-14568.3514462811,-24305.39681058994,-24305.39681058994,-38873.76471411024,0.9999993228986532,6.771013467687936e-07,0.10982102596207138,0.2685434452425321
3,130,0.013000000000000001,u000,-27500.0,-38582.10918651402,-11877.222656384198,-26704.88653012982,-26704.88653012982,-38582.12416503771,0.9999994391098844,5.608901155751411e-07,0.10727300899221343,0.2670015152659403
4,150,0.015,u000,-27500.0,-38465.95349110299,-8182.878596229915,-30283.074894873076,-30283.074894873076,-38465.966699795536,0.9999995638262935,4.361737064306759e-07,0.10729721354715475,0.266044105155561
5,170,0.017,u000,-27500.0,-38484.699627315276,-4321.503151825629,-34163.19647548965,-34163.19647548965,-38484.71133581753,0.9999996572775549,3.4272244509025995e-07,0.1099568124675546,0.2656872491189203
6,190,0.019,u000,-27500.0,-38557.14323217969,-2310.1550222050864,-36246.9882099746,-36246.9882099746,-38557.154267575956,0.999999695550166,3.044498340099011e-07,0.11218961434927587,0.2649446035291631
7,210,0.021,u000,-27500.0,-38663.24879984761,-3731.3293914958194,-34931.919408351794,-34931.919408351794,-38663.26025068901,0.9999996721956856,3.2780431430401435e-07,0.11137037547684076,0.26300625080318857
8,230,0.023,u000,-27500.0,-38730.34297569207,-7173.440318111825,-31556.90265758024,-31556.90265758024,-38730.3556512022,0.9999995983287686,4.0167123133150184e-07,0.10839856880126164,0.25986292134833705
9,250,0.025,u000,-27500.0,-38741.03669165497,-10564.927696138504,-28176.108995516464,-28176.108995516464,-38741.050888072175,0.9999994961546004,5.038453996797365e-07,0.1067229158483537,0.25666495263352807
