frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,220,0.022,u001,-29500.0,-39350.044415888595,-5435.389077046736,-33914.65533884186,-33914.65533884186,-39350.05621019572,0.9999996522359198,3.4776408014414173e-07,0.10967700871411665,0.26776802439433517
1,240,0.024,u001,-29500.0,-39392.93072571448,-9640.609342250646,-29752.321383463837,-29752.321383463837,-39392.9441700375,0.9999995481256506,4.518743493830968e-07,0.1067999301821877,0.26407539753360953
2,260,0.026000000000000002,u001,-29500.0,-39387.891115422986,-12939.264331789944,-26448.626783633044,-26448.626783633044,-39387.906239072865,0.9999994281883628,5.71811637206654e-07,0.10669233281976344,0.26057198325335085
3,280,0.028,u001,-29500.0,-39342.3134094514,-15007.691909906564,-24334.62149954484,-24334.62149954484,-39342.32984692629,0.9999993245240045,6.754759954707978e-07,0.10970945696743996,0.2577579523636264
4,300,0.03,u001,-29500.0,-39241.437164031915,-16008.335106999162,-23233.102057032753,-23233.102057032753,-39241.4543808333,0.9999992589549247,7.410450753586595e-07,0.11245780633498455,0.2551534599821667
5,320,0.032,u001,-29500.0,-39162.85544331936,-16373.678387928005,-22789.177055391352,-22789.177055391352,-39162.872995497346,0.9999992298032128,7.701967872364435e-07,0.11166527117921972,0.25237014002565716
6,340,0.034,u001,-29500.0,-39092.39716634214,-15873.77821412048,-23218.61895222166,-23218.61895222166,-39092.41439388285,0.9999992580301533,7.419698467292513e-07,0.10831008743457556,0.25007462372761746
7,360,0.036000000000000004,u001,-29500.0,-39025.555000283624,-14333.807549383413,-24691.747450900213,-24691.747450900213,-39025.5712000175,0.9999993439219865,6.560780134723387e-07,0.10637760528158972,0.24988983602929452
8,380,0.038,u001,-29500.0,-39001.34311678028,-11814.362168667489,-27186.98094811279,-27186.98094811279,-39001.357829696884,0.999999458825505,5.411744949945785e-07,0.10774542778067212,0.25156356751394177
9,400,0.04,u001,-29500.0,-38959.24633558113,-8775.491520135016,-30183.75481544611,-30183.75481544611,-38959.259587737026,0.999999560951103,4.3904889707180317e-07,0.11112921901849379,0.25439574663523606
10,420,0.042,u001,-29500.0,-38911.98123051366,-6385.913384457093,-32526.067846056565,-32526.067846056565,-38911.99352833738,0.9999996219089722,3.780910278750049e-07,0.11242286015840315,0.2564403210484
11,440,0.044,u001,-29500.0,-38892.111519219216,-5495.728712747466,-33396.38280647175,-33396.38280647175,-38892.12349655996,0.9999996413584002,3.586415997514081e-07,0.110366669677966,0.2569492724110733
12,460,0.046,u001,-29500.0,-38859.2358107767,-6367.791481344708,-32491.444329431994,-32491.444329431994,-38859.24812170521,0.9999996211027414,3.7889725856832257e-07,0.10737214854356406,0.2563699544949235
13,480,0.048,u001,-29500.0,-38855.59099488567,-8385.914925929961,-30469.676068955712,-30469.676068955712,-38855.604122686134,0.999999569152323,4.3084767697987303e-07,0.10698777496120802,0.2560906510730615
14,500,0.05,u001,-29500.0,-38875.030470513615,-10579.836554776262,-28295.193915737353,-28295.193915737353,-38875.04460718295,0.9999995003866999,4.996133001200498e-07,0.10953771638133063,0.2564790304205711
15,520,0.052000000000000005,u001,-29500.0,-38871.536749248626,-12388.634525583904,-26482.90222366472,-26482.90222366472,-38871.551853324774,0.9999994296675344,5.703324655881303e-07,0.11208953708884574,0.25679155067127574
16,540,0.054,u001,-29500.0,-38894.682774964494,-13777.461499576511,-25117.221275387983,-25117.221275387983,-38894.698700282905,0.9999993659609858,6.34039014124621e-07,0.11195046809343481,0.25661741386171966
17,560,0.056,u001,-29500.0,-38910.164820639824,-14505.470350205813,-24404.694470434013,-24404.694470434013,-38910.18121091801,0.9999993283974037,6.71602596313825e-07,0.10928562940055933,0.2565599636129984
18,580,0.058,u001,-29500.0,-38906.67693731142,-14353.551728706194,-24553.125208605226,-24553.125208605226,-38906.69322850577,0.9999993364929072,6.635070928240339e-07,0.10709602101187565,0.2575810793950094
19,600,0.06,u001,-29500.0,-38921.79168070028,-13252.365653522555,-25669.426027177724,-25669.426027177724,-38921.80726343114,0.9999993929466157,6.070533843383075e-07,0.10802994372507557,0.26014712858380895
20,620,0.062,u001,-29500.0,-38905.0671367053,-11122.052866745982,-27783.01426995932,-27783.01426995932,-38905.08153398376,0.9999994817962014,5.182037986495303e-07,0.1110161230248225,0.26313767021772577
