gap_kj_mol,free_energy_kj_mol,probability,counts
-49800.0,,0.0,0
-49400.0,,0.0,0
-49000.0,,0.0,0
-48600.0,,0.0,0
-48200.0,,0.0,0
-47800.0,,0.0,0
-47400.0,,0.0,0
-47000.0,,0.0,0
-46600.0,,0.0,0
-46200.0,,0.0,0
-45800.0,,0.0,0
-45400.0,,0.0,0
-45000.0,,0.0,0
-44600.0,,0.0,0
-44200.0,,0.0,0
-43800.0,,0.0,0
-43400.0,,0.0,0
-43000.0,,0.0,0
-42600.0,,0.0,0
-42200.0,,0.0,0
-41800.0,,0.0,0
-41400.0,,0.0,0
-41000.0,,0.0,0
-40600.0,,0.0,0
-40200.0,,0.0,0
-39800.0,,0.0,0
-39400.0,,0.0,0
-39000.0,,0.0,0
-38600.0,,0.0,0
-38200.0,,0.0,0
-37800.0,,0.0,0
-37400.0,,0.0,0
-37000.0,,0.0,0
-36600.0,3.8819495846231025,0.008720058930777746,2
-36200.0,,0.0,0
-35800.0,4.5136313547101,0.006769179042850319,2
-35400.0,4.810769431760715,0.006008978863803671,2
-35000.0,4.084297548241935,0.008040595189037464,3
-34600.0,3.639550419724971,0.009610014425677774,4
-34200.0,2.504624174577758,0.015147061687310996,7
-33800.0,1.409431405697454,0.023497121953451963,12
-33400.0,1.262666586489372,0.024921156758703336,14
-33000.0,0.7273656120188488,0.030886632174562723,19
-32600.0,2.8064758178921423,0.013420613847305992,9
-32200.0,1.9087752036818983,0.019234145193365058,14
-31800.0,0.7579858240223896,0.030509789252736057,24
-31400.0,0.0,0.0413441137050793,35
-31000.0,0.24507085545399399,0.03747519429312115,34
-30600.0,0.335368026482568,0.03614282259744552,35
-30200.0,1.2294278789556259,0.025255470115835912,26
-29800.0,0.49216456664606945,0.03394078606750884,37
-29400.0,0.30913030722052426,0.036525012194065586,42
-29000.0,0.2606437076003214,0.037241955058141846,45
-28600.0,0.6686451206145279,0.031622376293580695,40
-28200.0,0.4797821549237735,0.03410969402357541,45
-27800.0,0.8693115665442335,0.029178035786040737,40
-27400.0,0.5011634930470006,0.033818557145611154,48
-27000.0,0.7397069715516693,0.03073419033739505,45
-26600.0,1.4351043705260906,0.023256518316693828,35
-26200.0,1.1615484018166384,0.025952194843824012,40
-25800.0,1.0903373620856947,0.026703783262795502,42
-25400.0,0.5049012087844851,0.033767918678107064,54
-25000.0,1.7656168067870066,0.02037035016208526,33
-24600.0,1.3088995666462875,0.024463493548164524,40
-24200.0,0.7661448867309435,0.030410153791182372,50
-23800.0,1.5216498903328475,0.022463430417192422,37
-23400.0,1.4500550665980523,0.023117539127734326,38
-23000.0,1.3073721337744804,0.024478478596540156,40
-22600.0,1.6881886096597878,0.021012594419778423,34
-22200.0,1.8840505251995374,0.019425748197244262,31
-21800.0,2.932494559180741,0.012759421872326305,20
-21400.0,2.755735829086012,0.013696412422310306,21
-21000.0,2.2552435740516437,0.01673973451369714,25
-20600.0,2.4977783642240254,0.015188690490343668,22
-20200.0,3.204860842405262,0.011439544720698205,16
-19800.0,4.5416452318030025,0.006693579827872356,9
-19400.0,3.7143853186054816,0.009325977872036656,12
-19000.0,4.937634109835479,0.005710997960560717,7
-18600.0,5.189249164330009,0.005163007879338838,6
-18200.0,6.773419871095546,0.002735769802460537,3
-17800.0,9.35689190714917,0.0009711043400289068,1
-17400.0,,0.0,0
-17000.0,,0.0,0
-16600.0,,0.0,0
-16200.0,,0.0,0
-15800.0,,0.0,0
-15400.0,,0.0,0
-15000.0,,0.0,0
-14600.0,,0.0,0
-14200.0,,0.0,0
-13800.0,,0.0,0
-13400.0,,0.0,0
-13000.0,,0.0,0
-12600.0,,0.0,0
-12200.0,,0.0,0
-11800.0,,0.0,0
-11400.0,,0.0,0
