frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,220,0.022,u008,-22500.0,-40090.99173707637,-8544.963055322063,-31546.02868175431,-31546.02868175431,-40091.00441695577,0.9999995980518076,4.01948192396695e-07,0.11015776510707967,0.26134214835614317
1,240,0.024,u008,-22500.0,-40136.75410310671,-11679.068812632875,-28457.685290473833,-28457.685290473833,-40136.76815905674,0.9999995060759158,4.939240841883574e-07,0.10613453656405251,0.25618727566957206
2,260,0.026000000000000002,u008,-22500.0,-40137.38799387595,-14705.217943594354,-25432.170050281595,-25432.170050281595,-40137.40372197748,0.9999993815674383,6.184325617164532e-07,0.10600159265401027,0.25233148559123625
3,280,0.028,u008,-22500.0,-40102.16967733734,-16859.5343264993,-23242.63535083804,-23242.63535083804,-40102.18688707702,0.9999992595626988,7.404373012498411e-07,0.10992805500903452,0.25038330266768033
4,300,0.03,u008,-22500.0,-40025.31253544384,-18172.850557097845,-21852.461978345993,-21852.461978345993,-40025.33084000217,0.9999991623585625,8.376414375454999e-07,0.113580171888782,0.24952350275877141
5,320,0.032,u008,-22500.0,-39969.112217923015,-18882.1294612785,-21086.982756644516,-21086.982756644516,-39969.13118695452,0.999999100440419,8.99559581046816e-07,0.11273339797131161,0.24840248118058797
6,340,0.034,u008,-22500.0,-39909.66771244028,-19140.17907088378,-20769.488641556498,-20769.488641556498,-39909.686971442556,0.9999990727279378,9.272720621900099e-07,0.1082426068653475,0.24737960383675586
7,360,0.036000000000000004,u008,-22500.0,-39839.49710025432,-18683.544759338227,-21155.95234091609,-21155.95234091609,-39839.516007445825,0.9999991062960716,8.937039284728776e-07,0.10556971926378159,0.24772094243111414
8,380,0.038,u008,-22500.0,-39786.22814972533,-17422.62598497214,-22363.60216475319,-22363.60216475319,-39786.24603591724,0.9999992002109872,7.997890127953156e-07,0.10780144809030563,0.24977556735235618
9,400,0.04,u008,-22500.0,-39697.73736097492,-15295.926639219368,-24401.81072175555,-24401.81072175555,-39697.75375319007,0.9999993282386578,6.717613422191349e-07,0.11218151505688943,0.25246634196024736
10,420,0.042,u008,-22500.0,-39591.001080911665,-13019.532469290658,-26571.468611621007,-26571.468611621007,-39591.01613464389,0.999999433463186,5.665368140173044e-07,0.11386663028915146,0.25363937252090035
11,440,0.044,u008,-22500.0,-39503.745804335835,-11177.032897162338,-28326.712907173496,-28326.712907173496,-39503.759925275386,0.9999995014979142,4.985020858883082e-07,0.11084329358212806,0.2522557476853424
12,460,0.046,u008,-22500.0,-39410.8997923758,-10165.43899391027,-29245.46079846553,-29245.46079846553,-39410.913469705614,0.9999995323268416,4.676731584218885e-07,0.10657832873352398,0.25006189125496103
13,480,0.048,u008,-22500.0,-39364.615239291685,-10221.186557693727,-29143.428681597958,-29143.428681597958,-39364.62896450624,0.9999995290464352,4.709535648683705e-07,0.10606806733002092,0.24926273183468997
14,500,0.05,u008,-22500.0,-39366.46966599277,-11032.222371092823,-28334.24729489995,-28334.24729489995,-39366.48378317741,0.9999995017629928,4.982370072070808e-07,0.10986106379985906,0.2504107138286611
15,520,0.052000000000000005,u008,-22500.0,-39378.558026414365,-12426.587605974753,-26951.97042043961,-26951.97042043961,-39378.57286762165,0.999999449346719,5.506532809729237e-07,0.1135922212674182,0.252341085780922
16,540,0.054,u008,-22500.0,-39431.08405889364,-14249.806042500772,-25181.27801639287,-25181.27801639287,-39431.099943700894,0.9999993691826443,6.308173557401098e-07,0.11285834034561676,0.2533117441396917
17,560,0.056,u008,-22500.0,-39487.420715918415,-15975.466913145938,-23511.953802772478,-23511.953802772478,-39487.43772852885,0.9999992764282392,7.235717608411463e-07,0.10871179434179548,0.2536024954036306
18,580,0.058,u008,-22500.0,-39529.529791501875,-17160.176577852166,-22369.35321364971,-22369.35321364971,-39529.54767309534,0.9999992006221768,7.993778231574211e-07,0.10597651120044309,0.2548913744012063
19,600,0.06,u008,-22500.0,-39587.54649563783,-17496.08122519648,-22091.465270441346,-22091.465270441346,-39587.56460216301,0.9999991803850367,8.196149633432626e-07,0.10752669058528336,0.2575768177028879
20,620,0.062,u008,-22500.0,-39616.38750447458,-16926.790980865306,-22689.596523609274,-22689.596523609274,-39616.40513368578,0.9999992230278847,7.769721153683129e-07,0.11138756718176752,0.260694553809237
21,640,0.064,u008,-22500.0,-39632.030031018105,-15804.674087371532,-23827.355943646573,-23827.355943646573,-39632.046818433344,0.9999992954572207,7.04542779339512e-07,0.11328863551915166,0.26243803678146044
22,660,0.066,u008,-22500.0,-39654.8363327471,-14383.59560511724,-25271.24072762986,-25271.24072762986,-39654.85216100634,0.9999993736659161,6.263340838752463e-07,0.11103202951189954,0.2622260088624495
23,680,0.068,u008,-22500.0,-39656.93122987458,-12516.177250552602,-27140.753979321977,-27140.753979321977,-39656.945967850654,0.999999456980448,5.430195520461645e-07,0.1071384170970526,0.2611106113469197
24,700,0.07,u008,-22500.0,-39658.38286181778,-10525.714417172625,-29132.668444645155,-29132.668444645155,-39658.39659210178,0.9999995286984752,4.713015248070107e-07,0.10612301248348181,0.2607475891142463
25,720,0.07200000000000001,u008,-22500.0,-39647.38013411418,-9175.556702923554,-30471.823431190627,-30471.823431190627,-39647.39326098953,0.9999995692130449,4.30786955107898e-07,0.10927359286737785,0.2618124951712194
26,740,0.074,u008,-22500.0,-39593.06458556169,-9107.14821380211,-30485.91637175958,-30485.91637175958,-39593.077706368786,0.999999569611238,4.3038876190726327e-07,0.11259239110591182,0.26317094315438555
27,760,0.076,u008,-22500.0,-39532.25640921228,-10435.589096623211,-29096.667312589067,-29096.667312589067,-39532.270156484665,0.9999995275314782,4.7246852175053533e-07,0.11228482767617404,0.26337076442090884
28,780,0.078,u008,-22500.0,-39448.378224978806,-12340.859549982619,-27107.518674996187,-27107.518674996187,-39448.39298102443,0.9999994556480903,5.443519096592908e-07,0.10877524954182706,0.26288296404571293
29,800,0.08,u008,-22500.0,-39354.14277385539,-13943.670906714746,-25410.471867140644,-25410.471867140644,-39354.158515387244,0.9999993805108214,6.194891786770462e-07,0.1061759896759821,0.26273038356197775
30,820,0.082,u008,-22500.0,-39287.789926480065,-14892.113040405762,-24395.676886074303,-24395.676886074303,-39287.80632281672,0.9999993279008124,6.720991875819315e-07,0.10740365897370059,0.26360624489620677
31,840,0.084,u008,-22500.0,-39226.39272425929,-15381.881023081572,-23844.51170117772,-23844.51170117772,-39226.40949959626,0.9999992964706692,7.035293308477186e-07,0.11087239309038671,0.2647837642921305
32,860,0.08600000000000001,u008,-22500.0,-39190.444850141736,-15964.388247615541,-23226.056602526194,-23226.056602526194,-39190.4620721657,0.9999992585052763,7.414947237327496e-07,0.11273951077004538,0.2646394038283964
33,880,0.088,u008,-22500.0,-39187.88175220025,-16041.402688294824,-23146.479063905426,-23146.479063905426,-39187.8990334334,0.9999992533980092,7.466019907864663e-07,0.11083892054835724,0.2625710170585287
34,900,0.09,u008,-22500.0,-39183.36533487617,-15317.159363235201,-23866.20597164097,-23866.20597164097,-39183.38209496446,0.9999992977490948,7.022509051490822e-07,0.10727321506555339,0.2592759713268512
35,920,0.092,u008,-22500.0,-39193.61380179264,-13988.69891659738,-25204.914885195263,-25204.914885195263,-39193.62967170333,0.9999993703652332,6.29634766713405e-07,0.10654418651840984,0.2566187185215298
36,940,0.094,u008,-22500.0,-39206.64665963827,-12592.915528703743,-26613.731130934524,-26613.731130934524,-39206.66168946524,0.9999994352610715,5.647389284546556e-07,0.10963516025160841,0.25535481234864416
37,960,0.096,u008,-22500.0,-39204.57214941422,-12067.63611214279,-27136.93603727143,-27136.93603727143,-39204.586889463804,0.9999994568276407,5.431723592574933e-07,0.11250358243826068,0.25441621753594545
38,980,0.098,u008,-22500.0,-39212.42606376851,-12283.095610299002,-26929.330453469505,-26929.330453469505,-39212.440917453045,0.9999994484204434,5.515795565846915e-07,0.11205253780573098,0.2526189822278569
39,1000,0.1,u008,-22500.0,-39209.26457226349,-12881.266460736893,-26327.9981115266,-26327.9981115266,-39209.27976520629,0.9999994229365563,5.770634437518574e-07,0.10923539870380852,0.25062571298326086
40,1020,0.10200000000000001,u008,-22500.0,-39198.39416729286,-13576.937240705709,-25621.456926587154,-25621.456926587154,-39198.409779198046,0.9999993906714124,6.09328587586333e-07,0.10710738086653496,0.24925199908203471
41,1040,0.10400000000000001,u008,-22500.0,-39199.75988950889,-14260.411196813162,-24939.348692695727,-24939.348692695727,-39199.775928409814,0.9999993568845565,6.431154434549669e-07,0.10787972528806702,0.24871867404602274
42,1060,0.106,u008,-22500.0,-39189.88249686593,-15036.354932687595,-24153.527564178337,-24153.527564178337,-39189.89905758257,0.9999993143571313,6.856428686474736e-07,0.11057675902043303,0.24908925156782363
43,1080,0.108,u008,-22500.0,-39180.32638239008,-15700.65650620655,-23479.66987618353,-23479.66987618353,-39180.34341839237,0.9999992744370914,7.25562908587829e-07,0.11237183695679578,0.24945989374590108
44,1100,0.11,u008,-22500.0,-39177.05554350934,-15724.38324858417,-23452.67229492517,-23452.67229492517,-39177.07259912262,0.9999992727656677,7.272343322539676e-07,0.11107413156358158,0.2490302060284268
45,1120,0.112,u008,-22500.0,-39152.99943421624,-14873.448054525186,-24279.551379691053,-24279.551379691053,-39153.01590897404,0.9999993214563487,6.785436513223608e-07,0.1084352163589612,0.24854992645277466
46,1140,0.114,u008,-22500.0,-39130.435114322754,-13399.00266158898,-25731.432452733774,-25731.432452733774,-39130.45065950311,0.9999993958687841,6.041312159421608e-07,0.10747635472122392,0.24907492597310166
47,1160,0.116,u008,-22500.0,-39106.541806987545,-11889.185851778835,-27217.35595520871,-27217.35595520871,-39106.55650348432,0.999999460032748,5.399672520778331e-07,0.10905569335315948,0.2509053854088935
48,1180,0.11800000000000001,u008,-22500.0,-39075.62464417226,-10904.949142278987,-28170.675501893274,-28170.675501893274,-39075.63884332763,0.9999994959602209,5.040397791367113e-07,0.11131903608998209,0.2532377592500037
49,1200,0.12,u008,-22500.0,-39063.051642505045,-10718.294551956118,-28344.757090548926,-28344.757090548926,-39063.06575445525,0.9999995021324009,4.978675990918724e-07,0.11196077071911946,0.25531195378704946
50,1220,0.122,u008,-22500.0,-39051.76688727082,-11379.907692728622,-27671.859194542194,-27671.859194542194,-39051.781342381626,0.9999994776247013,5.223752986838193e-07,0.11038754540838655,0.2564308459046683
51,1240,0.124,u008,-22500.0,-39041.299486363016,-12720.17769044527,-26321.121795917745,-26321.121795917745,-39041.31468327492,0.9999994226350051,5.773649948692672e-07,0.10827126134643943,0.25648749974161605
52,1260,0.126,u008,-22500.0,-39047.476469924615,-14456.47648922648,-24590.999980698136,-24590.999980698136,-39047.49273602749,0.9999993385351809,6.614648191405337e-07,0.10784684205777634,0.2559402834873573
53,1280,0.128,u008,-22500.0,-39052.180535460066,-16408.381662837695,-22643.79887262237,-22643.79887262237,-39052.19820032673,0.9999992198818226,7.80118177390321e-07,0.10961225962290486,0.2556731998436581
54,1300,0.13,u008,-22500.0,-39064.860433348396,-18101.832599295565,-20963.02783405283,-20963.02783405283,-39064.87951454407,0.9999990897707581,9.102292418683433e-07,0.11135692817674901,0.2551677611747878
55,1320,0.132,u008,-22500.0,-39082.68053066786,-19022.488308755594,-20060.192221912264,-20060.192221912264,-39082.700470636424,0.9999990059951216,9.94004878351884e-07,0.110993667897752,0.25423908488196884
56,1340,0.134,u008,-22500.0,-39087.442821224395,-18863.12628211305,-20224.316539111343,-20224.316539111343,-39087.46259937651,0.9999990220627042,9.779372958096388e-07,0.1093967310307709,0.25337570887106203
57,1360,0.136,u008,-22500.0,-39088.04019440184,-17711.4266368034,-21376.613557598437,-21376.613557598437,-39088.05890642322,0.9999991246514062,8.753485938317596e-07,0.10835115173950152,0.25305894958073294
58,1380,0.138,u008,-22500.0,-39078.36881666622,-16016.45045298987,-23061.91836367635,-23061.91836367635,-39078.38616126405,0.999999247912881,7.520871189714562e-07,0.10866924897028044,0.25377528366582347
59,1400,0.14,u008,-22500.0,-39049.66043333468,-14000.990447989112,-25048.669985345565,-25048.669985345565,-39049.676402236226,0.9999993624858645,6.375141354819647e-07,0.10987348261909342,0.25527701430596506
60,1420,0.14200000000000002,u008,-22500.0,-39015.44345648488,-11562.927973765734,-27452.515482719144,-27452.515482719144,-39015.45802709091,0.9999994692438814,5.307561186662646e-07,0.1102831887958176,0.25681604005229
61,1440,0.14400000000000002,u008,-22500.0,-38973.18462219124,-9358.406510067376,-29614.778112123866,-29614.778112123866,-38973.1981289552,0.9999995439185265,4.560814734211327e-07,0.1095314116789972,0.25819906979823865
62,1460,0.146,u008,-22500.0,-38934.67118331374,-8662.878020165837,-30271.7931631479,-30271.7931631479,-38934.68439692891,0.9999995635011258,4.364988742122655e-07,0.10860081200051802,0.25930864920111
63,1480,0.148,u008,-22500.0,-38923.65470585972,-10119.241444560612,-28804.41326129911,-28804.41326129911,-38923.66859261393,0.9999995178953761,4.821046238889792e-07,0.10870484092983898,0.26040062993968377
64,1500,0.15,u008,-22500.0,-38926.58587473424,-12910.38958353069,-26016.196291203552,-26016.196291203552,-38926.601249762905,0.9999994090215835,5.909784165369913e-07,0.1095722133548199,0.26151702188633263
65,1520,0.152,u008,-22500.0,-38938.17858094082,-15826.614788079954,-23111.563792860863,-23111.563792860863,-38938.19588828116,0.9999992511404863,7.488595136773135e-07,0.1103955690353537,0.26283940800424344
66,1540,0.154,u008,-22500.0,-38951.77134503017,-18160.903897353448,-20790.86744767672,-20790.86744767672,-38951.79058422886,0.9999990746339402,9.253660597230429e-07,0.11027150372078273,0.26402358130830034
67,1560,0.156,u008,-22500.0,-38954.10897439331,-19562.32573796186,-19391.783236431453,-19391.783236431453,-38954.12960166465,0.9999989362903245,1.0637096755083952e-06,0.10950285041908053,0.26492248078426345
68,1580,0.158,u008,-22500.0,-38957.449709733424,-20016.463165546826,-18940.9865441866,-18940.9865441866,-38957.470827934056,0.9999988850552481,1.1149447518565836e-06,0.10939445990394044,0.26527906787699496
69,1600,0.16,u008,-22500.0,-38955.148036064726,-19923.237549796642,-19031.910486268083,-19031.910486268083,-38955.1690533745,0.9999988956829442,1.1043170558555637e-06,0.11020176455625764,0.26523945650739633
70,1620,0.162,u008,-22500.0,-38937.114821887924,-19355.146449794294,-19581.96837209363,-19581.96837209363,-38937.13524882229,0.9999989568519689,1.0431480310657548e-06,0.11085528952424929,0.2642307718931275
71,1640,0.164,u008,-22500.0,-38912.236955025,-17552.366701400548,-21359.870253624453,-21359.870253624453,-38912.255681714094,0.9999991232785577,8.767214423333058e-07,0.10999840360993718,0.2616178966120805
72,1660,0.166,u008,-22500.0,-38877.78577082805,-14156.889562927332,-24720.896207900718,-24720.896207900718,-38877.80195146061,0.999999345468253,6.545317469686118e-07,0.1088338674392688,0.2575547189394674
73,1680,0.168,u008,-22500.0,-38849.111066351965,-9674.462058135687,-29174.649008216278,-29174.649008216278,-38849.12477687893,0.9999995300538465,4.6994615354734037e-07,0.10904157371601232,0.2526849299466022
