frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,2200,0.22,u010,-19500.0,-38511.54590428973,-12395.73381316042,-26115.812091129308,-26115.812091129308,-38511.561220672156,0.9999994135214173,5.864785826981134e-07,0.1103772455561385,0.2706081782348013
1,2400,0.24,u010,-19500.0,-38489.845345088834,-9807.801821659668,-28682.043523429165,-28682.043523429165,-38489.85929108976,0.9999995137728819,4.862271180683386e-07,0.11000439606314105,0.2500167352658277
2,2600,0.26,u010,-19500.0,-38324.87075868505,-12811.4252544372,-25513.44550424785,-25513.44550424785,-38324.88643668331,0.9999993855013041,6.144986959277787e-07,0.11014789416372674,0.2557025049183995
3,2800,0.28,u010,-19500.0,-38351.435957981535,-8972.01135338642,-29379.424604595115,-29379.424604595115,-38351.44957294575,0.9999995365820884,4.634179116558279e-07,0.10935819753047107,0.2642377698584921
4,3000,0.3,u010,-19500.0,-38284.96482827261,-14972.90306078535,-23312.061767487263,-23312.061767487263,-38284.98198675948,0.9999992639663633,7.360336367612241e-07,0.10848237817374728,0.25871858916343293
5,3200,0.32,u010,-19500.0,-38214.254167434934,-10168.39822626076,-28045.855941174173,-28045.855941174173,-38214.26842978433,0.9999994914637328,5.085362672074822e-07,0.10889207801814524,0.2467723929114993
6,3400,0.34,u010,-19500.0,-38169.55369019628,-4130.488715001236,-34039.06497519504,-34039.06497519504,-38169.56544139632,0.9999996547733628,3.4522663716618496e-07,0.11040060421901765,0.26522634100012255
7,3600,0.36,u010,-19500.0,-38216.46810556229,-12712.793172788195,-25503.674932774098,-25503.674932774098,-38216.48378956685,0.9999993850303803,6.14969619616712e-07,0.11094385897649571,0.25745603159430397
8,3800,0.38,u010,-19500.0,-38194.739658890554,-16681.92106520789,-21512.818593682663,-21512.818593682663,-38194.758252439904,0.9999991357005531,8.642994469565402e-07,0.1091275621379128,0.2414893735673266
9,4000,0.4,u010,-19500.0,-38063.6535038187,-11025.483695378382,-27038.169808440318,-27038.169808440318,-38063.66829771133,0.9999994528521513,5.471478486951398e-07,0.10811232306834165,0.2705436907113727
10,4200,0.42,u010,-19500.0,-38047.874958955625,-13663.498691264336,-24384.37626769129,-24384.37626769129,-38047.891362890936,0.9999993272777183,6.727222817137779e-07,0.1098757456192253,0.266889492477781
11,4400,0.44,u010,-19500.0,-38020.80515408068,-13093.78662768437,-24927.018526396307,-24927.018526396307,-38020.82120091524,0.9999993562481655,6.437518345059345e-07,0.11001557876006322,0.24836823427529664
12,4600,0.46,u010,-19500.0,-37910.553740389354,-3293.718354513723,-34616.83538587563,-34616.83538587563,-37910.56529545676,0.9999996662011541,3.337988458418373e-07,0.10971753999880772,0.25667064105119464
13,4800,0.48,u010,-19500.0,-37787.90634669436,-13632.323323980294,-24155.58302271407,-24155.58302271407,-37787.92290600181,0.9999993144738123,6.85526187704788e-07,0.10986464863484134,0.265648102331717
14,5000,0.5,u010,-19500.0,-37800.83763396347,-12711.641375042818,-25089.196258920652,-25089.196258920652,-37800.85357707068,0.9999993645437348,6.354562651078588e-07,0.10965690640762939,0.2449317954078827
15,5200,0.52,u010,-19500.0,-37705.29420321461,-6583.780409468192,-31121.513793746417,-31121.513793746417,-37705.30705605453,0.9999995870114357,4.129885643466835e-07,0.10878158927840821,0.269752467932211
16,5400,0.54,u010,-19500.0,-37624.34355893117,-13204.681602242374,-24419.661956688797,-24419.661956688797,-37624.35993916331,0.9999993292204374,6.707795626170743e-07,0.10877393381835572,0.2524782833337917
17,5600,0.56,u010,-19500.0,-37518.179898133996,-15586.795468193654,-21931.384429940343,-21931.384429940343,-37518.198136821506,0.999999168376386,8.316236139171984e-07,0.11031373294035132,0.2545094288588188
