gap_kj_mol,free_energy_kj_mol,probability,counts
-396.0,,0.0,0
-388.0,,0.0,0
-380.0,,0.0,0
-372.0,,0.0,0
-364.0,,0.0,0
-356.0,,0.0,0
-348.0,,0.0,0
-340.0,,0.0,0
-332.0,,0.0,0
-324.0,,0.0,0
-316.0,,0.0,0
-308.0,,0.0,0
-300.0,,0.0,0
-292.0,,0.0,0
-284.0,,0.0,0
-276.0,,0.0,0
-268.0,,0.0,0
-260.0,,0.0,0
-252.0,,0.0,0
-244.0,,0.0,0
-236.0,,0.0,0
-228.0,,0.0,0
-220.0,,0.0,0
-212.0,,0.0,0
-204.0,,0.0,0
-196.0,,0.0,0
-188.0,,0.0,0
-180.0,,0.0,0
-172.0,,0.0,0
-164.0,,0.0,0
-156.0,,0.0,0
-148.0,,0.0,0
-140.0,,0.0,0
-132.0,,0.0,0
-124.0,,0.0,0
-116.0,,0.0,0
-108.0,,0.0,0
-100.0,,0.0,0
-92.0,,0.0,0
-84.0,,0.0,0
-76.0,,0.0,0
-68.0,,0.0,0
-60.0,,0.0,0
-52.0,,0.0,0
-44.0,,0.0,0
-36.0,,0.0,0
-28.0,,0.0,0
-20.0,,0.0,0
-12.0,,0.0,0
-4.0,,0.0,0
4.0,,0.0,0
12.0,,0.0,0
20.0,,0.0,0
28.0,,0.0,0
36.0,,0.0,0
44.0,,0.0,0
52.0,,0.0,0
60.0,,0.0,0
68.0,,0.0,0
76.0,,0.0,0
84.0,,0.0,0
92.0,,0.0,0
100.0,,0.0,0
108.0,,0.0,0
116.0,,0.0,0
124.0,,0.0,0
132.0,,0.0,0
140.0,,0.0,0
148.0,,0.0,0
156.0,,0.0,0
164.0,,0.0,0
172.0,,0.0,0
180.0,,0.0,0
188.0,,0.0,0
196.0,,0.0,0
204.0,,0.0,0
212.0,,0.0,0
220.0,,0.0,0
228.0,,0.0,0
236.0,,0.0,0
244.0,,0.0,0
252.0,,0.0,0
260.0,,0.0,0
268.0,,0.0,0
276.0,,0.0,0
284.0,,0.0,0
292.0,,0.0,0
300.0,,0.0,0
308.0,,0.0,0
316.0,,0.0,0
324.0,,0.0,0
332.0,,0.0,0
340.0,,0.0,0
348.0,,0.0,0
356.0,,0.0,0
364.0,,0.0,0
372.0,,0.0,0
380.0,,0.0,0
388.0,,0.0,0
396.0,,0.0,0
