frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,proton_transfer_rc_nm,proton_transfer_event,donor_h,h_acceptor
0,2100,0.21,u045,-19500.0,-39099.65246482016,-14324.976622146554,-24774.675842673605,-24774.675842673605,-39099.668610328656,0.9999993483068133,6.516931868039144e-07,-0.18498871653944754,0,0.10611006955279247,0.29109878609224
1,2200,0.22,u045,-19500.0,-39001.41557039021,-16129.544997435092,-22871.870572955115,-22871.870572955115,-39001.43305910819,0.9999992353624432,7.646375568270969e-07,-0.19052494289097388,0,0.10462831306679608,0.29515325595777
2,2300,0.23,u045,-19500.0,-39049.140834254475,-16620.107753377262,-22429.033080877212,-22429.033080877212,-39049.158668268115,0.9999992048705257,7.951294742625237e-07,-0.1923042461964615,0,0.10501060772241924,0.29731485391888074
3,2400,0.24,u045,-19500.0,-39054.05023701515,-16314.857211662777,-22739.193025352375,-22739.193025352375,-39054.0678277753,0.9999992264134916,7.735865083513538e-07,-0.1928402805093788,0,0.10749336196892174,0.3003336424783005
4,2500,0.25,u045,-19500.0,-38985.717761121254,-9187.802466546273,-29797.91529457498,-29797.91529457498,-38985.731184873075,0.9999995495074203,4.504925796844361e-07,-0.1874278134822146,0,0.11091683728189405,0.29834465076410865
5,2600,0.26,u045,-19500.0,-39053.096885822975,-19496.473609960492,-19556.623275862483,-19556.623275862483,-39053.117339230295,0.9999989541464163,1.0458535836810334e-06,-0.18375391983838146,0,0.11238305071165798,0.29613697055003946
6,2700,0.27,u045,-19500.0,-39014.46644109886,-19325.930832628015,-19688.535608470847,-19688.535608470847,-39014.48675746952,0.9999989681137724,1.0318862275204843e-06,-0.1911790526436527,0,0.11224169806747729,0.30342075071113
7,2800,0.28,u045,-19500.0,-38943.29789170416,-13911.807205227524,-25031.490686476638,-25031.490686476638,-38943.313871565275,0.9999993616105045,6.383894954886671e-07,-0.1894986690703165,0,0.11123721005534151,0.300735879125658
8,2900,0.29,u045,-19500.0,-38929.620289820974,-17859.97752996077,-21069.642759860202,-21069.642759860202,-38929.63927446367,0.9999990989591658,9.010408341114662e-07,-0.1890934042477811,0,0.11022274984768882,0.2993161540954699
9,3000,0.3,u045,-19500.0,-38900.56620741103,-13773.889536558505,-25126.676670852525,-25126.676670852525,-38900.582126736605,0.9999993664380844,6.335619156527805e-07,-0.18196148672319384,0,0.10927478565058178,0.29123627237377564
10,3100,0.31,u045,-19500.0,-38904.15663900392,-16722.289092502877,-22181.867546501046,-22181.867546501046,-38904.174671736015,0.9999991870520939,8.129479060481337e-07,-0.17990556324554155,0,0.1086679084848137,0.28857347173035525
11,3200,0.32,u045,-19500.0,-38745.95124819435,-14688.23540397812,-24057.715844216233,-24057.715844216233,-38745.96787486524,0.9999993088850159,6.911149840749253e-07,-0.1866359711606092,0,0.10780810033233895,0.29444407149294816
12,3300,0.33,u045,-19500.0,-38827.24190376399,-16616.163702168822,-22211.07820159517,-22211.07820159517,-38827.25991278057,0.9999991891889617,8.108110383653333e-07,-0.18013058446455274,0,0.10774115030719275,0.2878717347717455
13,3400,0.34,u045,-19500.0,-38699.47898448145,-16603.072023753863,-22096.40696072759,-22096.40696072759,-38699.49708695726,0.9999991807515958,8.192484042268688e-07,-0.18098823918887114,0,0.1076832976824602,0.28867153687133135
14,3500,0.35000000000000003,u045,-19500.0,-38707.24465121821,-12103.754972863331,-26603.489678354876,-26603.489678354876,-38707.25968683116,0.9999994348261774,5.651738225753711e-07,-0.18683918215239054,0,0.10836237873151254,0.2952015608839031
15,3600,0.36,u045,-19500.0,-38677.61716377668,-18802.158359018475,-19875.458804758207,-19875.458804758207,-38677.63728907789,0.9999989874316542,1.0125683458928059e-06,-0.18202885575868888,0,0.1099038136130308,0.2919326693717197
16,3700,0.37,u045,-19500.0,-38725.69867107345,-6664.8240096847,-32060.87466138875,-32060.87466138875,-38725.71114733458,0.999999610857422,3.8914257805000574e-07,-0.1754764661101941,0,0.11114081970785775,0.28661728581805185
17,3800,0.38,u045,-19500.0,-38699.222111830284,-18444.73062289352,-20254.491488936765,-20254.491488936765,-38699.24186051715,0.9999990249743687,9.750256314000616e-07,-0.17730418118407248,0,0.11245097717889767,0.28975515836297017
18,3900,0.39,u045,-19500.0,-38607.91225106202,-19939.130706760887,-18668.781544301135,-18668.781544301135,-38607.93367718134,0.9999988523048444,1.147695155523376e-06,-0.18548834224999505,0,0.11214708149420534,0.2976354237442004
19,4000,0.4,u045,-19500.0,-38651.20678056803,-8558.788887957897,-30092.41789261013,-30092.41789261013,-38651.22007294702,0.9999995582818471,4.4171815288818195e-07,-0.19185051080436494,0,0.1103467620555077,0.30219727285987263
20,4100,0.41000000000000003,u045,-19500.0,-38711.78915071793,-21082.103934702318,-17629.685216015612,-17629.685216015612,-38711.81183969282,0.9999987130277022,1.2869722977870701e-06,-0.19175945147638052,0,0.10817706607584593,0.29993651755222644
21,4200,0.42,u045,-19500.0,-38672.195061724575,-14693.35488990511,-23978.840171819465,-23978.840171819465,-38672.211743086926,0.999999304330859,6.956691409598648e-07,-0.18873691530451753,0,0.106788030863102,0.29552494616761954
22,4300,0.43,u045,-19500.0,-38545.00226163864,-10764.812369193183,-27780.189892445458,-27780.189892445458,-38545.01666038085,0.999999481690826,5.183091740801338e-07,-0.18832216992242054,0,0.10678527154677361,0.29510744146919415
23,4400,0.44,u045,-19500.0,-38455.109662851115,-16752.31629319527,-21702.793369655847,-21702.793369655847,-38455.12809364265,0.9999991507655298,8.492344701904742e-07,-0.18965694319583754,0,0.10902705567710817,0.2986839988729457
24,4500,0.45,u045,-19500.0,-38456.50191827651,-11486.604285984853,-26969.897632291657,-26969.897632291657,-38456.51674961868,0.9999994500785261,5.499214739135283e-07,-0.18945944783689062,0,0.11108929741271845,0.30054874524960906
25,4600,0.46,u045,-19500.0,-38478.11123608233,-14337.353153656848,-24140.758082425484,-24140.758082425484,-38478.12780555891,0.9999993136315866,6.863684134938985e-07,-0.1836639351454964,0,0.11307581180552471,0.2967397469510211
26,4700,0.47000000000000003,u045,-19500.0,-38439.82687881723,-11174.343923951528,-27265.4829548657,-27265.4829548657,-38439.84154937287,0.9999994619372825,5.380627174922381e-07,-0.17409714228937748,0,0.11266126053248002,0.2867584028218575
27,4800,0.48,u045,-19500.0,-38403.295140470786,-15734.489559498936,-22668.80558097185,-22668.80558097185,-38403.31278585079,0.9999992216020175,7.783979825704002e-07,-0.17902639183037897,0,0.11084652735418535,0.2898729191845643
28,4900,0.49,u045,-19500.0,-38430.66811265837,-12080.730978050648,-26349.937134607724,-26349.937134607724,-38430.6832929515,0.9999994238970834,5.761029165940457e-07,-0.18047565223134954,0,0.10879038574251132,0.28926603797386086
29,5000,0.5,u045,-19500.0,-38334.63363351705,-12897.177953153325,-25437.455680363724,-25437.455680363724,-38334.64935835045,0.9999993818244184,6.1817558161259e-07,-0.18009037470204592,0,0.10643775449257852,0.28652812919462445
30,5100,0.51,u045,-19500.0,-38374.91729325746,-15329.546389429714,-23045.370903827745,-23045.370903827745,-38374.934650309355,0.999999246832441,7.531675590422005e-07,-0.1733383442611241,0,0.1061037336242095,0.2794420778853336
31,5200,0.52,u045,-19500.0,-38272.64214228923,-10976.505568101595,-27296.136574187636,-27296.136574187636,-38272.656796369825,0.999999463145093,5.368549069184603e-07,-0.17667961425186715,0,0.10762044540308738,0.28430005965495453
