frame,step,time_ps,window_id,gap_center_kj_mol,E1_kj_mol,E2_kj_mol,delta_e_kj_mol,delta_e_shifted_kj_mol,Eevb_kj_mol,w1,w2,donor_h,h_acceptor
0,30000,3.0,u007,-41800.0,-34350.704354824,3626.395730508375,-37977.10008533238,-37977.10008533238,-34350.714887484166,0.9999997226577517,2.7734224827824505e-07,0.11255375014493856,0.30015345971398494
1,40000,4.0,u007,-41800.0,-33828.28992870168,13894.71760991501,-47723.007538616686,-47723.007538616686,-33828.298310401624,0.9999998243677959,1.7563220416905168e-07,0.10984460466357575,0.24712133443109655
2,50000,5.0,u007,-41800.0,-33634.72464904835,13358.605451821,-46993.33010086935,-46993.33010086935,-33634.73316089305,0.9999998188712825,1.8112871746911452e-07,0.11057682580959644,0.31362745099503364
3,60000,6.0,u007,-41800.0,-33771.56766442134,14756.21969420911,-48527.78735863045,-48527.78735863045,-33771.57590712009,0.9999998301448223,1.6985517770073955e-07,0.10990972778702394,0.32216694484134084
4,70000,7.0,u007,-41800.0,-33664.91555824745,4019.1426460705698,-37684.05820431802,-37684.05820431802,-33664.926172812506,0.999999718327601,2.816723989607084e-07,0.10779596409605219,0.24116753741090474
5,80000,8.0,u007,-41800.0,-33678.81064656953,13452.525102300482,-47131.33574887001,-47131.33574887001,-33678.81913349063,0.999999819930458,1.8006954205507242e-07,0.10887181602731225,0.27577009148565995
6,90000,9.0,u007,-41800.0,-33308.594127217715,9105.49337187555,-42414.087499093264,-42414.087499093264,-33308.603558044466,0.9999997776488164,2.2235118357638584e-07,0.1128165870122045,0.26083813495822394
7,100000,10.0,u007,-41800.0,-33498.12154740366,17241.787918776477,-50739.909466180135,-50739.909466180135,-33498.12943074326,0.9999998446324159,1.5536758413148277e-07,0.1110304574056265,0.26346542570412473
8,110000,11.0,u007,-41800.0,-33407.44782786677,7743.544693999953,-41150.99252186672,-41150.99252186672,-33407.457548164646,0.9999997637895784,2.3621042155586025e-07,0.1107596773282954,0.26541945539655504
9,120000,12.0,u007,-41800.0,-33244.92272408062,11596.857096509018,-44841.77982058964,-44841.77982058964,-33244.93164433138,0.9999998010728556,1.989271444235996e-07,0.11189570188759768,0.2885367964858191
